Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-868.25684,275.57318,-574.3861,-1470.9724,106.5,0,,,,,,,,
,,,,,65,-29.756966,66,,,,,,
,,,,,169,-367.60806,104,,,,,,
,,,,,270,-160.08368,101,,,,,,
,,,,,339,-103.104645,69,,,,,,
,,,,,450,-159.61237,111,,,,,,
,,,,,545,-315.0169,95,,,,,,
,,,,,617,-138.26108,72,,,,,,
,,,,,729,-202.52338,112,,,,,,
,,,,,834,-200.69247,105,,,,,,
,,,,,888,-76.9968,54,,,,,,
,,,,,965,-214.30872,77,,,,,,
,,,,,1082,-96.92456,117,,,,,,
,,,,,1174,-245.58662,92,,,,,,
,,,,,1264,-141.64569,90,,,,,,
,,,,,1338,-179.03232,74,,,,,,
,,,,,1407,-71.56555,69,,,,,,
,,,,,1509,-380.56567,102,,,,,,
,,,,,1618,-252.9209,109,,,,,,
,,,,,1718,-139.35255,100,,,,,,
,,,,,1816,-132.56592,98,,,,,,
,,,,,1879,-126.55955,63,,,,,,
,,,,,1981,-153.9204,102,,,,,,
,,,,,2046,-231.76212,65,,,,,,
,,,,,2138,-114.98754,92,,,,,,
,,,,,2276,-131.56087,138,,,,,,
,,,,,2342,-106.256294,66,,,,,,
,,,,,2414,-124.14284,72,,,,,,
,,,,,2546,-209.4799,132,,,,,,
,,,,,2645,-84.964096,99,,,,,,
,,,,,2767,-128.12082,122,,,,,,
,,,,,2881,-173.06668,114,,,,,,
,,,,,2974,-151.8674,93,,,,,,
,,,,,3051,-47.99471,77,,,,,,
,,,,,3130,-107.248764,79,,,,,,
,,,,,3236,-336.22668,106,,,,,,
,,,,,3339,-120.683365,103,,,,,,
,,,,,3434,-395.7291,95,,,,,,
,,,,,3534,-490.98343,100,,,,,,
,,,,,3604,-71.14832,70,,,,,,
,,,,,3680,-304.16547,76,,,,,,
,,,,,3759,-210.47992,79,,,,,,
,,,,,3832,-190.24164,73,,,,,,
,,,,,3926,-67.22882,94,,,,,,
,,,,,4056,-103.24411,130,,,,,,
,,,,,4155,-125.42523,99,,,,,,
,,,,,4253,-343.02792,98,,,,,,
,,,,,4355,-361.32626,102,,,,,,
,,,,,4419,-75.35042,64,,,,,,
,,,,,4509,-276.0398,90,,,,,,
,,,,,4606,-13.454086,97,,,,,,
,,,,,4706,-198.38599,100,,,,,,
,,,,,4804,-13.367676,98,,,,,,
,,,,,4912,-227.65408,108,,,,,,
,,,,,5047,-105.67604,135,,,,,,
,,,,,5183,-328.84418,136,,,,,,
,,,,,5298,-64.93562,115,,,,,,
,,,,,5392,-111.76908,94,,,,,,
,,,,,5471,-134.87485,79,,,,,,
,,,,,5573,-379.1651,102,,,,,,
,,,,,5661,-149.38966,88,,,,,,
,,,,,5752,-118.14235,91,,,,,,
,,,,,5833,-74.73711,81,,,,,,
,,,,,5901,-77.835175,68,,,,,,
,,,,,6002,-368.1731,101,,,,,,
,,,,,6132,-364.06058,130,,,,,,
,,,,,6201,-83.173416,69,,,,,,
,,,,,6296,-86.909225,95,,,,,,
,,,,,6360,-107.949295,64,,,,,,
,,,,,6432,-294.9845,72,,,,,,
,,,,,6513,-232.20566,81,,,,,,
,,,,,6612,-96.86365,99,,,,,,
,,,,,6748,-407.37885,136,,,,,,
,,,,,6850,-283.54834,102,,,,,,
,,,,,6976,-392.38153,126,,,,,,
,,,,,7068,-314.56277,92,,,,,,
,,,,,7131,-135.26364,63,,,,,,
,,,,,7201,-149.27347,70,,,,,,
,,,,,7270,-40.00766,69,,,,,,
,,,,,7391,-73.13643,121,,,,,,
,,,,,7500,-173.03885,109,,,,,,
,,,,,7567,-92.654755,67,,,,,,
,,,,,7660,-94.7328,93,,,,,,
,,,,,7774,-223.82785,114,,,,,,
,,,,,7895,-117.856476,121,,,,,,
,,,,,7993,-329.20993,98,,,,,,
,,,,,8103,-349.3206,110,,,,,,
,,,,,8197,-121.64257,94,,,,,,
,,,,,8308,-7.146904,111,,,,,,
,,,,,8405,-367.01193,97,,,,,,
,,,,,8489,-284.3062,84,,,,,,
,,,,,8580,-197.90369,91,,,,,,
,,,,,8708,-138.92815,128,,,,,,
,,,,,8796,-444.924,88,,,,,,
,,,,,8860,-70.51878,64,,,,,,
,,,,,8938,-125.88219,78,,,,,,
,,,,,9034,-432.79956,96,,,,,,
,,,,,9145,-82.862045,111,,,,,,
,,,,,9260,-115.36482,115,,,,,,
,,,,,9371,-391.55713,111,,,,,,
,,,,,9444,-86.17626,73,,,,,,
,,,,,9506,-113.54262,62,,,,,,
,,,,,9627,-94.9591,121,,,,,,
,,,,,9704,-130.70483,77,,,,,,
,,,,,9802,-354.49106,98,,,,,,
,,,,,9882,-118.504906,80,,,,,,
,,,,,9983,-309.19632,101,,,,,,
-922.8419,363.81354,-556.32983,-1722.4761,124.2,10000,,,,,,,,
,,,,,10117,-233.96365,134,,,,,,
,,,,,10197,-136.06723,80,,,,,,
,,,,,10309,-265.00134,112,,,,,,
,,,,,10389,-89.99397,80,,,,,,
,,,,,10472,-96.37678,83,,,,,,
,,,,,10565,-17.854889,93,,,,,,
,,,,,10661,-272.1526,96,,,,,,
,,,,,10762,-116.0743,101,,,,,,
,,,,,10856,-198.2532,94,,,,,,
,,,,,10914,-93.7422,58,,,,,,
,,,,,11017,-36.872227,103,,,,,,
,,,,,11085,-95.916595,68,,,,,,
,,,,,11158,-104.475945,73,,,,,,
,,,,,11266,-184.66269,108,,,,,,
,,,,,11355,-116.95067,89,,,,,,
,,,,,11477,-318.83997,122,,,,,,
,,,,,11564,-102.829346,87,,,,,,
,,,,,11654,-364.6425,90,,,,,,
,,,,,11724,-121.35983,70,,,,,,
,,,,,11835,-108.5308,111,,,,,,
,,,,,11920,-79.83981,85,,,,,,
,,,,,12007,-77.73991,87,,,,,,
,,,,,12071,-73.716446,64,,,,,,
,,,,,12174,-469.72537,103,,,,,,
,,,,,12280,0.3846283,106,,,,,,
,,,,,12368,-95.82763,88,,,,,,
,,,,,12482,-177.6644,114,,,,,,
,,,,,12571,-97.29664,89,,,,,,
,,,,,12651,-134.87239,80,,,,,,
,,,,,12716,-88.43086,65,,,,,,
,,,,,12818,-202.24573,102,,,,,,
,,,,,12888,-130.26802,70,,,,,,
,,,,,12956,-128.184,68,,,,,,
,,,,,13043,-302.15558,87,,,,,,
,,,,,13151,-310.76132,108,,,,,,
,,,,,13234,-163.11375,83,,,,,,
,,,,,13312,-117.02209,78,,,,,,
,,,,,13427,-64.9412,115,,,,,,
,,,,,13505,-99.20435,78,,,,,,
,,,,,13592,-277.2923,87,,,,,,
,,,,,13681,-114.57748,89,,,,,,
,,,,,13760,-148.8052,79,,,,,,
,,,,,13850,-127.88735,90,,,,,,
,,,,,13968,-152.613,118,,,,,,
,,,,,14040,-195.3682,72,,,,,,
,,,,,14114,-326.04132,74,,,,,,
,,,,,14231,-176.13246,117,,,,,,
,,,,,14296,-213.98218,65,,,,,,
,,,,,14398,-140.7649,102,,,,,,
,,,,,14466,-106.11653,68,,,,,,
,,,,,14547,-81.68248,81,,,,,,
,,,,,14614,-207.9543,67,,,,,,
,,,,,14672,-56.261497,58,,,,,,
,,,,,14743,-112.90916,71,,,,,,
,,,,,14823,-173.42911,80,,,,,,
,,,,,14897,-382.14957,74,,,,,,
,,,,,14993,-70.454544,96,,,,,,
,,,,,15100,-142.46567,107,,,,,,
