Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-221.28716,50.081627,-144.82669,-293.48618,1000.0,0,,,,,,,,,,
,,,,,999,-267.89554,1000,,,,,,,,
,,,,,1999,-291.5649,1000,,,,,,,,
,,,,,2999,-285.04416,1000,,,,,,,,
,,,,,3999,-199.34102,1000,,,,,,,,
,,,,,4999,-198.21431,1000,,,,,,,,
-232.38113,50.345192,-143.68016,-312.43045,1000.0,5000,,,,,,,,,,
,,,,,5999,-195.12567,1000,,,,,,,,
,,,,,6999,-236.53467,1000,,,,,,,,
,,,,,7999,-146.59735,1000,,,,,,,,
,,,,,8999,-237.19109,1000,,,,,,,,
,,,,,9999,-287.27222,1000,,,,,,,,
-226.69695,50.970234,-161.39482,-321.45667,1000.0,10000,,,-0.35325103998184204,3.6993134021759033,0.4366222620010376,-0.02181866206228733,0.08547726273536682,0.0003,0.0003,0.1
,,,,,10999,-244.46527,1000,,,,,,,,
,,,,,11000,,,-2.3716845512390137,2.915607213973999,0.4504888653755188,1.7652063369750977,1.693730115890503,0.0003,0.0003,0.1
,,,,,11999,-321.87262,1000,,,,,,,,
,,,,,12000,,,-3.9624104499816895,2.6919851303100586,0.7082414627075195,3.3623578548431396,3.343683958053589,0.0003,0.0003,0.1
,,,,,12999,-273.22372,1000,,,,,,,,
,,,,,13000,,,-5.943225383758545,1.9045488834381104,0.6779952645301819,5.071195125579834,5.203675270080566,0.0003,0.0003,0.1
,,,,,13999,-271.97876,1000,,,,,,,,
,,,,,14000,,,-8.739171981811523,1.4470934867858887,0.6941684484481812,7.704817295074463,7.741517066955566,0.0003,0.0003,0.1
,,,,,14999,-326.2879,1000,,,,,,,,
-252.16013,26.123886,-211.39262,-295.9054,1000.0,15000,,,-11.564204216003418,1.7539281845092773,0.5356018543243408,10.645158767700195,10.652166366577148,0.0003,0.0003,0.1
,,,,,15999,-244.35417,1000,,,,,,,,
,,,,,16000,,,-14.118413925170898,1.8588707447052002,0.44551485776901245,13.13969898223877,13.226959228515625,0.0003,0.0003,0.1
,,,,,16999,-198.1124,1000,,,,,,,,
,,,,,17000,,,-15.826461791992188,1.523703694343567,0.43969225883483887,15.046022415161133,14.957313537597656,0.0003,0.0003,0.1
,,,,,17999,-63.37237,1000,,,,,,,,
,,,,,18000,,,-17.03188705444336,2.124934196472168,0.39761656522750854,16.148618698120117,16.253854751586914,0.0003,0.0003,0.1
,,,,,18999,47.63585,1000,,,,,,,,
,,,,,19000,,,-20.197223663330078,1.950059175491333,0.42646437883377075,19.375837326049805,19.3311767578125,0.0003,0.0003,0.1
,,,,,19999,71.41445,1000,,,,,,,,
839.1459,38.296085,899.5614,764.36346,1000.0,20000,,,-20.14508056640625,1.7302169799804688,0.39710694551467896,19.33995246887207,19.22406768798828,0.0003,0.0003,0.1
,,,,,20999,876.4235,1000,,,,,,,,
,,,,,21000,,,-24.762256622314453,1.4612152576446533,0.4136050343513489,23.943376541137695,23.953624725341797,0.0003,0.0003,0.1
,,,,,21999,885.5545,1000,,,,,,,,
,,,,,22000,,,-27.653968811035156,1.313110589981079,0.46750396490097046,26.792551040649414,26.755020141601562,0.0003,0.0003,0.1
,,,,,22999,1043.5809,1000,,,,,,,,
,,,,,23000,,,-29.534414291381836,1.4386727809906006,0.4052344262599945,28.74658966064453,28.675689697265625,0.0003,0.0003,0.1
,,,,,23999,1148.7616,1000,,,,,,,,
,,,,,24000,,,-33.180206298828125,1.1708195209503174,0.417007178068161,32.24999237060547,32.30836486816406,0.0003,0.0003,0.1
,,,,,24999,1106.3607,1000,,,,,,,,
1249.4236,173.53545,1377.424,747.4995,1000.0,25000,,,-37.334190368652344,0.750749945640564,0.5112826824188232,36.4205322265625,36.54953384399414,0.0003,0.0003,0.1
,,,,,25999,1433.314,1000,,,,,,,,
,,,,,26000,,,-41.52824401855469,0.8737303614616394,0.44203850626945496,40.631317138671875,40.46185302734375,0.0003,0.0003,0.1
,,,,,26999,1501.2009,1000,,,,,,,,
,,,,,27000,,,-43.80089569091797,0.6227909326553345,0.40833780169487,42.753013610839844,42.73863983154297,0.0003,0.0003,0.1
,,,,,27999,1635.057,1000,,,,,,,,
,,,,,28000,,,-46.961910247802734,0.31105631589889526,0.3999403119087219,45.91090774536133,45.75626754760742,0.0003,0.0003,0.1
,,,,,28999,1773.1642,1000,,,,,,,,
,,,,,29000,,,-53.054412841796875,0.04871407896280289,0.5231575965881348,52.03697204589844,52.05774688720703,0.0003,0.0003,0.1
,,,,,29999,1789.8856,1000,,,,,,,,
722.0835,414.76828,1839.3335,328.77026,1000.0,30000,,,-60.43658447265625,-0.49992579221725464,0.6330096125602722,59.17783737182617,59.32009506225586,0.0003,0.0003,0.1
,,,,,30999,1958.2501,1000,,,,,,,,
,,,,,31000,,,-66.287841796875,-0.35703742504119873,0.49345386028289795,65.18778991699219,65.05696105957031,0.0003,0.0003,0.1
,,,,,31999,1881.0162,1000,,,,,,,,
,,,,,32000,,,-70.12615966796875,-0.6979659199714661,0.5400455594062805,68.81001281738281,68.81259155273438,0.0003,0.0003,0.1
,,,,,32999,2039.9172,1000,,,,,,,,
,,,,,33000,,,-76.14021301269531,-0.9904709458351135,0.5998138189315796,74.80729675292969,74.81922912597656,0.0003,0.0003,0.1
,,,,,33999,2098.1853,1000,,,,,,,,
,,,,,34000,,,-81.6203842163086,-0.7248514890670776,0.7065162062644958,80.46610260009766,80.43588256835938,0.0003,0.0003,0.1
,,,,,34999,1615.7031,1000,,,,,,,,
1656.0023,659.76117,2226.9404,482.78323,1000.0,35000,,,-85.54856872558594,-0.9966674447059631,0.6293665766716003,84.31211853027344,84.4142074584961,0.0003,0.0003,0.1
,,,,,35999,2118.9155,1000,,,,,,,,
,,,,,36000,,,-91.0042495727539,-0.9122219085693359,0.6328803300857544,89.73529052734375,89.85989379882812,0.0003,0.0003,0.1
,,,,,36999,1374.7795,1000,,,,,,,,
,,,,,37000,,,-95.80731964111328,-0.5234333276748657,0.6005164384841919,94.65519714355469,94.84400177001953,0.0003,0.0003,0.1
,,,,,37999,2176.5708,1000,,,,,,,,
,,,,,38000,,,-98.31641387939453,-0.4902438521385193,0.7569817304611206,96.94367218017578,97.12506866455078,0.0003,0.0003,0.1
,,,,,38999,2288.0813,1000,,,,,,,,
,,,,,39000,,,-109.57389831542969,-0.6633318662643433,0.8766182661056519,108.3205795288086,108.15191650390625,0.0003,0.0003,0.1
,,,,,39999,2325.1028,1000,,,,,,,,
2225.876,35.40848,2284.1704,2172.185,1000.0,40000,,,-109.1709213256836,-0.7396771311759949,0.6703619956970215,108.06211853027344,108.21815490722656,0.0003,0.0003,0.1
,,,,,40999,2384.352,1000,,,,,,,,
