Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,41000,,,4.469953536987305,6.234493255615234,6.213710784912109,70.32182312011719,0.9566875,9.989572916666667e-05
,,,,,41510,290.0,2218,,,,,,
,,,,,41970,310.0,1842,,,,,,
,,,,,42000,,,6.996406555175781,6.626538276672363,6.579516410827637,60.958831787109375,0.9546250000000001,9.97915625e-05
,,,,,42496,230.0,2122,,,,,,
,,,,,42925,130.0,1738,,,,,,
,,,,,43000,,,1.2223262786865234,5.260687351226807,5.058049201965332,52.91260528564453,0.9525625,9.968739583333334e-05
,,,,,43395,150.0,1890,,,,,,
,,,,,43884,170.0,1978,,,,,,
,,,,,44000,,,1.2941774129867554,6.295408248901367,6.2704572677612305,55.91458511352539,0.9505,9.958322916666667e-05
,,,,,44228,160.0,1402,,,,,,
,,,,,44836,320.0,2442,,,,,,
,,,,,45000,,,12.5550537109375,7.029860496520996,7.869029521942139,207.12132263183594,0.9484375,9.947906250000001e-05
,,,,,45300,340.0,1858,,,,,,
,,,,,45748,170.0,1794,,,,,,
,,,,,46000,,,7.394323348999023,6.6830549240112305,6.15181303024292,101.74652862548828,0.946375,9.937489583333334e-05
,,,,,46273,290.0,2122,,,,,,
,,,,,46760,170.0,1954,,,,,,
,,,,,47000,,,3.900721311569214,6.109525680541992,6.139654636383057,149.0641632080078,0.9443125,9.927072916666668e-05
,,,,,47222,230.0,1850,,,,,,
,,,,,47692,190.0,1906,,,,,,
,,,,,48000,,,2.5514676570892334,9.00264835357666,8.92274284362793,78.90877532958984,0.94225,9.916656250000001e-05
,,,,,48157,260.0,1882,,,,,,
,,,,,48750,260.0,2394,,,,,,
,,,,,49000,,,2.8176722526550293,6.552517890930176,6.616210460662842,79.42308044433594,0.9401875,9.906239583333335e-05
,,,,,49268,230.0,2090,,,,,,
,,,,,49690,230.0,1714,,,,,,
612.0,160.54906,780.0,380.0,2612.4,50000,,,11.532365798950195,8.900029182434082,10.358122825622559,326.3666076660156,0.938125,9.895822916666668e-05
,,,,,50051,190.0,1450,,,,,,
,,,,,50410,180.0,1450,,,,,,
,,,,,50902,250.0,1978,,,,,,
,,,,,51000,,,3.1894466876983643,12.619672775268555,12.387757301330566,149.3275909423828,0.9360625,9.88540625e-05
,,,,,51436,200.0,2138,,,,,,
,,,,,52000,,,10.33398723602295,10.680908203125,10.520109176635742,197.41213989257812,0.9339999999999999,9.874989583333334e-05
,,,,,52049,320.0,2466,,,,,,
