Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen
,,,,,4712,12.367064,21
,,,,,4732,17.48735,20
,,,,,4752,21.6113,20
,,,,,4779,24.822866,27
,,,,,4795,14.647121,16
,,,,,4806,8.490654,11
,,,,,4825,19.694489,19
,,,,,4852,29.347115,27
,,,,,4888,5.840781,36
,,,,,4913,16.016264,25
,,,,,4930,7.726554,17
,,,,,4945,13.1918125,15
,,,,,4965,7.2242713,20
,,,,,4985,10.135277,20
,,,,,5000,8.880462,15
22.262262,18.396826,72.29525,8.596611,27.5,5000,,
,,,,,5023,14.898786,23
,,,,,5067,18.941538,44
,,,,,5075,5.576833,8
,,,,,5108,43.123055,33
,,,,,5120,10.897552,12
,,,,,5140,11.75307,20
,,,,,5168,37.88889,28
,,,,,5193,16.194033,25
,,,,,5206,12.122974,13
,,,,,5224,13.337488,18
,,,,,5256,24.700441,32
,,,,,5278,13.409686,22
,,,,,5292,10.985732,14
,,,,,5315,16.865992,23
,,,,,5329,10.075515,14
,,,,,5343,11.307009,14
,,,,,5358,13.757846,15
,,,,,5386,17.59033,28
,,,,,5408,27.494629,22
,,,,,5440,31.306517,32
,,,,,5467,32.05373,27
,,,,,5486,12.251545,19
,,,,,5507,14.570493,21
,,,,,5546,41.20455,39
,,,,,5567,15.108165,21
,,,,,5583,11.665352,16
,,,,,5598,16.08205,15
,,,,,5619,25.143713,21
,,,,,5642,20.99274,23
,,,,,5683,32.602207,41
,,,,,5704,23.546812,21
,,,,,5720,13.504047,16
,,,,,5740,20.633345,20
,,,,,5753,8.563726,13
,,,,,5796,55.08739,43
,,,,,5814,17.120964,18
,,,,,5845,28.026236,31
,,,,,5871,22.622143,26
,,,,,5887,16.021275,16
,,,,,5899,9.890088,12
,,,,,5927,31.406342,28
,,,,,5971,22.727406,44
,,,,,5990,12.988605,19
,,,,,6002,10.90473,12
,,,,,6056,84.70699,54
,,,,,6096,12.533238,40
,,,,,6119,16.92301,23
,,,,,6137,12.461676,18
,,,,,6157,18.687244,20
,,,,,6295,253.7264,138
,,,,,6310,10.45351,15
,,,,,6353,34.867363,43
,,,,,6364,8.27851,11
,,,,,6386,20.80252,22
,,,,,6406,23.441645,20
,,,,,6441,36.33364,35
,,,,,6465,27.172688,24
,,,,,6480,10.590982,15
,,,,,6493,12.933977,13
,,,,,6505,11.156501,12
,,,,,6520,8.540899,15
,,,,,6551,24.86446,31
,,,,,6584,37.111393,33
,,,,,6604,21.765444,20
,,,,,6627,26.838144,23
,,,,,6692,120.33878,65
,,,,,6706,7.792235,14
,,,,,6720,13.016026,14
,,,,,6733,8.618778,13
,,,,,6767,22.81487,34
,,,,,6828,71.90939,61
,,,,,6843,14.050212,15
,,,,,6860,19.723515,17
,,,,,6869,6.168664,9
,,,,,6886,10.381738,17
,,,,,6926,34.241882,40
,,,,,6937,7.810641,11
,,,,,6971,29.531454,34
,,,,,6987,11.021649,16
,,,,,6998,9.027542,11
,,,,,7011,12.798665,13
,,,,,7027,12.488929,16
,,,,,7043,12.644568,16
,,,,,7102,78.40178,59
,,,,,7114,10.730627,12
,,,,,7129,15.458298,15
,,,,,7147,11.355804,18
,,,,,7178,42.479168,31
,,,,,7199,24.148819,21
,,,,,7227,29.800642,28
,,,,,7237,7.561034,10
,,,,,7265,21.75271,28
,,,,,7297,26.20381,32
,,,,,7316,14.057029,19
,,,,,7328,10.636431,12
,,,,,7343,9.858347,15
,,,,,7365,20.9622,22
,,,,,7383,16.70482,18
,,,,,7393,8.825129,10
,,,,,7404,7.357918,11
,,,,,7416,10.101198,12
,,,,,7447,32.97382,31
,,,,,7465,11.819928,18
,,,,,7475,7.5816436,10
,,,,,7494,13.03816,19
,,,,,7511,8.478613,17
,,,,,7521,8.065341,10
,,,,,7541,12.894722,20
,,,,,7554,10.937154,13
,,,,,7584,12.245933,30
,,,,,7609,27.224482,25
,,,,,7626,11.341619,17
,,,,,7641,14.173137,15
,,,,,7670,33.321896,29
,,,,,7681,10.322664,11
,,,,,7716,42.58218,35
,,,,,7732,15.131781,16
,,,,,7747,13.222627,15
,,,,,7788,60.464367,41
,,,,,7803,12.289677,15
,,,,,7835,30.29142,32
,,,,,7854,14.125752,19
,,,,,7866,10.487963,12
,,,,,7906,24.127268,40
,,,,,7950,50.179222,44
,,,,,7974,29.03128,24
,,,,,7986,9.617003,12
,,,,,8002,14.035299,16
,,,,,8037,38.22744,35
,,,,,8056,20.80424,19
,,,,,8070,11.414727,14
,,,,,8091,19.683392,21
,,,,,8103,10.585897,12
,,,,,8123,15.833549,20
,,,,,8136,11.339645,13
,,,,,8150,13.1413355,14
,,,,,8159,5.5234656,9
,,,,,8179,11.920442,20
,,,,,8194,10.7866,15
,,,,,8206,11.455819,12
,,,,,8232,13.444848,26
,,,,,8255,18.840816,23
,,,,,8269,9.574571,14
,,,,,8283,14.837097,14
,,,,,8300,15.493198,17
,,,,,8316,11.979543,16
,,,,,8328,9.665818,12
,,,,,8342,13.104494,14
,,,,,8358,12.41812,16
,,,,,8371,7.40815,13
,,,,,8398,7.690981,27
,,,,,8412,12.056439,14
,,,,,8431,16.533785,19
,,,,,8461,24.42096,30
,,,,,8506,31.696426,45
,,,,,8550,40.229263,44
,,,,,8565,14.614101,15
,,,,,8584,14.143511,19
,,,,,8598,7.8239045,14
,,,,,8612,13.880852,14
,,,,,8654,66.01061,42
,,,,,8664,7.3847375,10
,,,,,8681,14.029426,17
,,,,,8698,16.38326,17
,,,,,8712,11.357623,14
,,,,,8739,8.133816,27
,,,,,8767,12.034444,28
,,,,,8789,18.524286,22
,,,,,8811,15.359038,22
,,,,,8832,15.870604,21
,,,,,8860,36.288994,28
,,,,,8876,10.75666,16
,,,,,8893,12.605148,17
,,,,,8918,30.37047,25
,,,,,8931,12.143738,13
,,,,,8969,39.975357,38
,,,,,8998,12.869738,29
,,,,,9047,47.5418,49
,,,,,9107,63.21409,60
,,,,,9142,21.245737,35
,,,,,9170,26.767038,28
,,,,,9236,85.20272,66
,,,,,9252,15.283232,16
,,,,,9269,17.485222,17
,,,,,9287,11.527234,18
,,,,,9308,11.099775,21
,,,,,9320,8.773923,12
,,,,,9338,19.588936,18
,,,,,9369,39.848717,31
,,,,,9393,24.359552,24
,,,,,9422,35.59188,29
,,,,,9436,12.885395,14
,,,,,9458,15.543889,22
,,,,,9504,42.22645,46
,,,,,9518,13.359336,14
,,,,,9537,19.530146,19
