Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-225.17725,65.93827,-123.19357,-308.38342,1000.0,0,,,,,,,,,,
,,,,,999,-244.74261,1000,,,,,,,,
,,,,,1999,-248.84685,1000,,,,,,,,
,,,,,2999,-439.9934,1000,,,,,,,,
,,,,,3999,-233.26024,1000,,,,,,,,
,,,,,4999,-178.8944,1000,,,,,,,,
-224.40225,36.958214,-189.11533,-319.44412,1000.0,5000,,,,,,,,,,
,,,,,5999,-292.5401,1000,,,,,,,,
,,,,,6999,-282.6044,1000,,,,,,,,
,,,,,7999,-220.70386,1000,,,,,,,,
,,,,,8999,-135.27135,1000,,,,,,,,
,,,,,9999,-318.41348,1000,,,,,,,,
-244.16055,68.18887,-176.74702,-423.80505,1000.0,10000,,,-4.065543174743652,3.7052290439605713,0.4130820035934448,-0.01557258702814579,0.03731776401400566,0.0003,0.0003,0.1
,,,,,10999,-93.25073,1000,,,,,,,,
,,,,,11000,,,-5.620354652404785,4.073774814605713,0.5601800680160522,1.0402469635009766,1.0415598154067993,0.0003,0.0003,0.1
,,,,,11999,-248.5969,1000,,,,,,,,
,,,,,12000,,,-6.640058517456055,4.074543476104736,0.9165860414505005,2.1142303943634033,2.122286319732666,0.0003,0.0003,0.1
,,,,,12999,-379.85187,1000,,,,,,,,
,,,,,13000,,,-7.365607738494873,4.038829803466797,1.0767407417297363,2.8440685272216797,2.8109190464019775,0.0003,0.0003,0.1
,,,,,13999,-186.441,1000,,,,,,,,
,,,,,14000,,,-8.277657508850098,4.03909969329834,1.284214973449707,3.6355795860290527,3.8975112438201904,0.0003,0.0003,0.1
,,,,,14999,-175.57323,1000,,,,,,,,
-165.22794,44.591244,-88.826485,-226.14883,1000.0,15000,,,-9.783340454101562,4.057005882263184,1.027734398841858,5.161713600158691,5.15919303894043,0.0003,0.0003,0.1
,,,,,15999,-146.1318,1000,,,,,,,,
,,,,,16000,,,-11.215877532958984,4.036179542541504,1.4791407585144043,6.630702018737793,6.508297443389893,0.0003,0.0003,0.1
,,,,,16999,-178.17712,1000,,,,,,,,
,,,,,17000,,,-12.656108856201172,3.971161127090454,1.4378941059112549,8.164073944091797,8.188528060913086,0.0003,0.0003,0.1
,,,,,17999,-165.7458,1000,,,,,,,,
,,,,,18000,,,-13.996721267700195,4.018698692321777,1.5882494449615479,9.303882598876953,9.399996757507324,0.0003,0.0003,0.1
,,,,,18999,-81.901634,1000,,,,,,,,
,,,,,19000,,,-15.301054000854492,4.028964519500732,1.3308945894241333,10.690938949584961,10.722113609313965,0.0003,0.0003,0.1
,,,,,19999,-70.65139,1000,,,,,,,,
-165.39264,67.481544,-42.463757,-266.51385,1000.0,20000,,,-17.261699676513672,3.937981605529785,1.2307472229003906,12.690471649169922,12.544977188110352,0.0003,0.0003,0.1
