Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,844,9.0,9,,,,,,,,
,,,,,849,5.0,5,,,,,,,,
,,,,,853,4.0,4,,,,,,,,
,,,,,856,3.0,3,,,,,,,,
,,,,,859,3.0,3,,,,,,,,
,,,,,862,3.0,3,,,,,,,,
,,,,,866,4.0,4,,,,,,,,
,,,,,874,8.0,8,,,,,,,,
,,,,,883,9.0,9,,,,,,,,
,,,,,889,6.0,6,,,,,,,,
,,,,,893,4.0,4,,,,,,,,
,,,,,896,3.0,3,,,,,,,,
,,,,,901,5.0,5,,,,,,,,
,,,,,906,5.0,5,,,,,,,,
,,,,,914,8.0,8,,,,,,,,
,,,,,917,3.0,3,,,,,,,,
,,,,,927,10.0,10,,,,,,,,
,,,,,932,5.0,5,,,,,,,,
,,,,,935,3.0,3,,,,,,,,
,,,,,939,4.0,4,,,,,,,,
,,,,,950,11.0,11,,,,,,,,
,,,,,953,3.0,3,,,,,,,,
,,,,,957,4.0,4,,,,,,,,
,,,,,961,4.0,4,,,,,,,,
,,,,,970,9.0,9,,,,,,,,
,,,,,979,9.0,9,,,,,,,,
,,,,,983,4.0,4,,,,,,,,
,,,,,986,3.0,3,,,,,,,,
,,,,,989,3.0,3,,,,,,,,
,,,,,995,6.0,6,,,,,,,,
,,,,,1003,8.0,8,,,,,,,,
,,,,,1006,3.0,3,,,,,,,,
,,,,,1009,3.0,3,,,,,,,,
,,,,,1013,4.0,4,,,,,,,,
,,,,,1025,12.0,12,,,,,,,,
,,,,,1030,5.0,5,,,,,,,,
,,,,,1036,6.0,6,,,,,,,,
,,,,,1044,8.0,8,,,,,,,,
,,,,,1050,6.0,6,,,,,,,,
,,,,,1061,11.0,11,,,,,,,,
,,,,,1076,15.0,15,,,,,,,,
,,,,,1083,7.0,7,,,,,,,,
,,,,,1087,4.0,4,,,,,,,,
,,,,,1090,3.0,3,,,,,,,,
,,,,,1093,3.0,3,,,,,,,,
,,,,,1105,12.0,12,,,,,,,,
,,,,,1128,23.0,23,,,,,,,,
,,,,,1132,4.0,4,,,,,,,,
,,,,,1138,6.0,6,,,,,,,,
,,,,,1149,11.0,11,,,,,,,,
,,,,,1152,3.0,3,,,,,,,,
,,,,,1155,3.0,3,,,,,,,,
,,,,,1158,3.0,3,,,,,,,,
,,,,,1165,7.0,7,,,,,,,,
,,,,,1168,3.0,3,,,,,,,,
,,,,,1171,3.0,3,,,,,,,,
,,,,,1175,4.0,4,,,,,,,,
,,,,,1180,5.0,5,,,,,,,,
,,,,,1183,3.0,3,,,,,,,,
,,,,,1187,4.0,4,,,,,,,,
,,,,,1190,3.0,3,,,,,,,,
,,,,,1199,9.0,9,,,,,,,,
,,,,,1208,9.0,9,,,,,,,,
,,,,,1218,10.0,10,,,,,,,,
,,,,,1229,11.0,11,,,,,,,,
,,,,,1243,14.0,14,,,,,,,,
,,,,,1259,16.0,16,,,,,,,,
,,,,,1270,11.0,11,,,,,,,,
,,,,,1274,4.0,4,,,,,,,,
,,,,,1279,5.0,5,,,,,,,,
,,,,,1291,12.0,12,,,,,,,,
,,,,,1295,4.0,4,,,,,,,,
,,,,,1300,5.0,5,,,,,,,,
,,,,,1305,5.0,5,,,,,,,,
,,,,,1309,4.0,4,,,,,,,,
,,,,,1317,8.0,8,,,,,,,,
,,,,,1321,4.0,4,,,,,,,,
,,,,,1330,9.0,9,,,,,,,,
,,,,,1335,5.0,5,,,,,,,,
,,,,,1338,3.0,3,,,,,,,,
,,,,,1343,5.0,5,,,,,,,,
,,,,,1351,8.0,8,,,,,,,,
,,,,,1358,7.0,7,,,,,,,,
,,,,,1369,11.0,11,,,,,,,,
,,,,,1372,3.0,3,,,,,,,,
,,,,,1377,5.0,5,,,,,,,,
,,,,,1386,9.0,9,,,,,,,,
,,,,,1403,17.0,17,,,,,,,,
,,,,,1408,5.0,5,,,,,,,,
,,,,,1419,11.0,11,,,,,,,,
,,,,,1433,14.0,14,,,,,,,,
,,,,,1439,6.0,6,,,,,,,,
,,,,,1448,9.0,9,,,,,,,,
,,,,,1453,5.0,5,,,,,,,,
,,,,,1470,17.0,17,,,,,,,,
,,,,,1476,6.0,6,,,,,,,,
,,,,,1479,3.0,3,,,,,,,,
,,,,,1485,6.0,6,,,,,,,,
,,,,,1491,6.0,6,,,,,,,,
,,,,,1494,3.0,3,,,,,,,,
,,,,,1515,21.0,21,,,,,,,,
,,,,,1526,11.0,11,,,,,,,,
,,,,,1541,15.0,15,,,,,,,,
,,,,,1548,7.0,7,,,,,,,,
,,,,,1553,5.0,5,,,,,,,,
,,,,,1560,7.0,7,,,,,,,,
,,,,,1573,13.0,13,,,,,,,,
,,,,,1585,12.0,12,,,,,,,,
,,,,,1588,3.0,3,,,,,,,,
,,,,,1597,9.0,9,,,,,,,,
,,,,,1601,4.0,4,,,,,,,,
,,,,,1605,4.0,4,,,,,,,,
,,,,,1608,3.0,3,,,,,,,,
,,,,,1614,6.0,6,,,,,,,,
,,,,,1619,5.0,5,,,,,,,,
,,,,,1623,4.0,4,,,,,,,,
,,,,,1637,14.0,14,,,,,,,,
,,,,,1653,16.0,16,,,,,,,,
,,,,,1658,5.0,5,,,,,,,,
,,,,,1663,5.0,5,,,,,,,,
,,,,,1668,5.0,5,,,,,,,,
,,,,,1673,5.0,5,,,,,,,,
,,,,,1684,11.0,11,,,,,,,,
,,,,,1690,6.0,6,,,,,,,,
,,,,,1698,8.0,8,,,,,,,,
,,,,,1703,5.0,5,,,,,,,,
,,,,,1708,5.0,5,,,,,,,,
,,,,,1717,9.0,9,,,,,,,,
,,,,,1722,5.0,5,,,,,,,,
,,,,,1730,8.0,8,,,,,,,,
,,,,,1742,12.0,12,,,,,,,,
,,,,,1757,15.0,15,,,,,,,,
,,,,,1762,5.0,5,,,,,,,,
,,,,,1766,4.0,4,,,,,,,,
,,,,,1771,5.0,5,,,,,,,,
,,,,,1774,3.0,3,,,,,,,,
,,,,,1779,5.0,5,,,,,,,,
,,,,,1799,20.0,20,,,,,,,,
,,,,,1803,4.0,4,,,,,,,,
,,,,,1807,4.0,4,,,,,,,,
,,,,,1811,4.0,4,,,,,,,,
,,,,,1818,7.0,7,,,,,,,,
,,,,,1823,5.0,5,,,,,,,,
,,,,,1826,3.0,3,,,,,,,,
,,,,,1833,7.0,7,,,,,,,,
,,,,,1838,5.0,5,,,,,,,,
,,,,,1853,15.0,15,,,,,,,,
,,,,,1858,5.0,5,,,,,,,,
,,,,,1861,3.0,3,,,,,,,,
,,,,,1867,6.0,6,,,,,,,,
,,,,,1875,8.0,8,,,,,,,,
,,,,,1891,16.0,16,,,,,,,,
,,,,,1896,5.0,5,,,,,,,,
,,,,,1900,4.0,4,,,,,,,,
,,,,,1904,4.0,4,,,,,,,,
,,,,,1907,3.0,3,,,,,,,,
,,,,,1910,3.0,3,,,,,,,,
,,,,,1914,4.0,4,,,,,,,,
,,,,,1924,10.0,10,,,,,,,,
,,,,,1932,8.0,8,,,,,,,,
,,,,,1937,5.0,5,,,,,,,,
,,,,,1940,3.0,3,,,,,,,,
,,,,,1947,7.0,7,,,,,,,,
,,,,,1957,10.0,10,,,,,,,,
,,,,,1962,5.0,5,,,,,,,,
,,,,,1973,11.0,11,,,,,,,,
,,,,,1995,22.0,22,,,,,,,,
,,,,,2004,9.0,9,,,,,,,,
,,,,,2012,8.0,8,,,,,,,,
,,,,,2019,7.0,7,,,,,,,,
,,,,,2026,7.0,7,,,,,,,,
,,,,,2034,8.0,8,,,,,,,,
,,,,,2037,3.0,3,,,,,,,,
,,,,,2041,4.0,4,,,,,,,,
,,,,,2051,10.0,10,,,,,,,,
,,,,,2072,21.0,21,,,,,,,,
,,,,,2091,19.0,19,,,,,,,,
,,,,,2099,8.0,8,,,,,,,,
,,,,,2104,5.0,5,,,,,,,,
,,,,,2115,11.0,11,,,,,,,,
,,,,,2129,14.0,14,,,,,,,,
,,,,,2136,7.0,7,,,,,,,,
,,,,,2152,16.0,16,,,,,,,,
,,,,,2156,4.0,4,,,,,,,,
,,,,,2163,7.0,7,,,,,,,,
,,,,,2172,9.0,9,,,,,,,,
,,,,,2179,7.0,7,,,,,,,,
,,,,,2185,6.0,6,,,,,,,,
,,,,,2200,15.0,15,,,,,,,,
,,,,,2209,9.0,9,,,,,,,,
,,,,,2215,6.0,6,,,,,,,,
,,,,,2222,7.0,7,,,,,,,,
,,,,,2231,9.0,9,,,,,,,,
,,,,,2234,3.0,3,,,,,,,,
,,,,,2237,3.0,3,,,,,,,,
,,,,,2242,5.0,5,,,,,,,,
,,,,,2249,7.0,7,,,,,,,,
,,,,,2253,4.0,4,,,,,,,,
,,,,,2258,5.0,5,,,,,,,,
,,,,,2275,17.0,17,,,,,,,,
,,,,,2286,11.0,11,,,,,,,,
,,,,,2289,3.0,3,,,,,,,,
,,,,,2294,5.0,5,,,,,,,,
,,,,,2307,13.0,13,,,,,,,,
,,,,,2312,5.0,5,,,,,,,,
,,,,,2322,10.0,10,,,,,,,,
,,,,,2330,8.0,8,,,,,,,,
,,,,,2341,11.0,11,,,,,,,,
,,,,,2352,11.0,11,,,,,,,,
,,,,,2358,6.0,6,,,,,,,,
,,,,,2363,5.0,5,,,,,,,,
,,,,,2367,4.0,4,,,,,,,,
,,,,,2380,13.0,13,,,,,,,,
,,,,,2388,8.0,8,,,,,,,,
,,,,,2408,20.0,20,,,,,,,,
,,,,,2420,12.0,12,,,,,,,,
,,,,,2424,4.0,4,,,,,,,,
,,,,,2431,7.0,7,,,,,,,,
,,,,,2435,4.0,4,,,,,,,,
,,,,,2440,5.0,5,,,,,,,,
,,,,,2444,4.0,4,,,,,,,,
,,,,,2457,13.0,13,,,,,,,,
,,,,,2467,10.0,10,,,,,,,,
,,,,,2470,3.0,3,,,,,,,,
,,,,,2478,8.0,8,,,,,,,,
,,,,,2482,4.0,4,,,,,,,,
,,,,,2487,5.0,5,,,,,,,,
,,,,,2490,3.0,3,,,,,,,,
,,,,,2506,16.0,16,,,,,,,,
,,,,,2511,5.0,5,,,,,,,,
,,,,,2521,10.0,10,,,,,,,,
,,,,,2528,7.0,7,,,,,,,,
,,,,,2540,12.0,12,,,,,,,,
,,,,,2547,7.0,7,,,,,,,,
,,,,,2550,3.0,3,,,,,,,,
,,,,,2563,13.0,13,,,,,,,,
,,,,,2575,12.0,12,,,,,,,,
,,,,,2583,8.0,8,,,,,,,,
,,,,,2587,4.0,4,,,,,,,,
,,,,,2592,5.0,5,,,,,,,,
,,,,,2598,6.0,6,,,,,,,,
,,,,,2602,4.0,4,,,,,,,,
,,,,,2612,10.0,10,,,,,,,,
,,,,,2616,4.0,4,,,,,,,,
,,,,,2624,8.0,8,,,,,,,,
,,,,,2629,5.0,5,,,,,,,,
,,,,,2636,7.0,7,,,,,,,,
,,,,,2642,6.0,6,,,,,,,,
,,,,,2675,33.0,33,,,,,,,,
,,,,,2682,7.0,7,,,,,,,,
,,,,,2686,4.0,4,,,,,,,,
,,,,,2694,8.0,8,,,,,,,,
,,,,,2701,7.0,7,,,,,,,,
,,,,,2705,4.0,4,,,,,,,,
,,,,,2709,4.0,4,,,,,,,,
,,,,,2712,3.0,3,,,,,,,,
,,,,,2719,7.0,7,,,,,,,,
,,,,,2722,3.0,3,,,,,,,,
,,,,,2727,5.0,5,,,,,,,,
,,,,,2732,5.0,5,,,,,,,,
,,,,,2741,9.0,9,,,,,,,,
,,,,,2749,8.0,8,,,,,,,,
,,,,,2765,16.0,16,,,,,,,,
,,,,,2775,10.0,10,,,,,,,,
,,,,,2781,6.0,6,,,,,,,,
,,,,,2785,4.0,4,,,,,,,,
,,,,,2792,7.0,7,,,,,,,,
,,,,,2796,4.0,4,,,,,,,,
,,,,,2802,6.0,6,,,,,,,,
,,,,,2807,5.0,5,,,,,,,,
,,,,,2831,24.0,24,,,,,,,,
,,,,,2837,6.0,6,,,,,,,,
,,,,,2841,4.0,4,,,,,,,,
,,,,,2845,4.0,4,,,,,,,,
,,,,,2852,7.0,7,,,,,,,,
,,,,,2867,15.0,15,,,,,,,,
,,,,,2872,5.0,5,,,,,,,,
,,,,,2877,5.0,5,,,,,,,,
,,,,,2882,5.0,5,,,,,,,,
,,,,,2887,5.0,5,,,,,,,,
,,,,,2895,8.0,8,,,,,,,,
,,,,,2910,15.0,15,,,,,,,,
,,,,,2931,21.0,21,,,,,,,,
,,,,,2936,5.0,5,,,,,,,,
,,,,,2942,6.0,6,,,,,,,,
,,,,,2951,9.0,9,,,,,,,,
,,,,,2955,4.0,4,,,,,,,,
,,,,,2958,3.0,3,,,,,,,,
,,,,,2965,7.0,7,,,,,,,,
,,,,,2972,7.0,7,,,,,,,,
,,,,,2975,3.0,3,,,,,,,,
,,,,,2979,4.0,4,,,,,,,,
,,,,,2992,13.0,13,,,,,,,,
,,,,,2997,5.0,5,,,,,,,,
,,,,,3006,9.0,9,,,,,,,,
,,,,,3014,8.0,8,,,,,,,,
,,,,,3017,3.0,3,,,,,,,,
,,,,,3025,8.0,8,,,,,,,,
,,,,,3035,10.0,10,,,,,,,,
,,,,,3041,6.0,6,,,,,,,,
,,,,,3049,8.0,8,,,,,,,,
,,,,,3057,8.0,8,,,,,,,,
,,,,,3063,6.0,6,,,,,,,,
,,,,,3074,11.0,11,,,,,,,,
,,,,,3081,7.0,7,,,,,,,,
