Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1009,13.0,13,,,,,,
,,,,,1013,4.0,4,,,,,,
,,,,,1025,12.0,12,,,,,,
,,,,,1030,5.0,5,,,,,,
,,,,,1035,5.0,5,,,,,,
,,,,,1038,3.0,3,,,,,,
,,,,,1042,4.0,4,,,,,,
,,,,,1045,3.0,3,,,,,,
,,,,,1062,17.0,17,,,,,,
,,,,,1066,4.0,4,,,,,,
,,,,,1069,3.0,3,,,,,,
,,,,,1073,4.0,4,,,,,,
,,,,,1077,4.0,4,,,,,,
,,,,,1083,6.0,6,,,,,,
,,,,,1087,4.0,4,,,,,,
,,,,,1090,3.0,3,,,,,,
,,,,,1093,3.0,3,,,,,,
,,,,,1105,12.0,12,,,,,,
,,,,,1128,23.0,23,,,,,,
,,,,,1132,4.0,4,,,,,,
,,,,,1138,6.0,6,,,,,,
,,,,,1149,11.0,11,,,,,,
,,,,,1152,3.0,3,,,,,,
,,,,,1155,3.0,3,,,,,,
,,,,,1158,3.0,3,,,,,,
,,,,,1165,7.0,7,,,,,,
,,,,,1168,3.0,3,,,,,,
,,,,,1171,3.0,3,,,,,,
,,,,,1175,4.0,4,,,,,,
,,,,,1180,5.0,5,,,,,,
,,,,,1183,3.0,3,,,,,,
,,,,,1187,4.0,4,,,,,,
,,,,,1190,3.0,3,,,,,,
,,,,,1198,8.0,8,,,,,,
,,,,,1202,4.0,4,,,,,,
,,,,,1205,3.0,3,,,,,,
,,,,,1208,3.0,3,,,,,,
,,,,,1218,10.0,10,,,,,,
,,,,,1229,11.0,11,,,,,,
,,,,,1242,13.0,13,,,,,,
,,,,,1251,9.0,9,,,,,,
,,,,,1260,9.0,9,,,,,,
,,,,,1265,5.0,5,,,,,,
,,,,,1271,6.0,6,,,,,,
,,,,,1274,3.0,3,,,,,,
,,,,,1279,5.0,5,,,,,,
,,,,,1291,12.0,12,,,,,,
,,,,,1295,4.0,4,,,,,,
,,,,,1300,5.0,5,,,,,,
,,,,,1305,5.0,5,,,,,,
,,,,,1309,4.0,4,,,,,,
,,,,,1317,8.0,8,,,,,,
,,,,,1321,4.0,4,,,,,,
,,,,,1330,9.0,9,,,,,,
,,,,,1335,5.0,5,,,,,,
,,,,,1338,3.0,3,,,,,,
,,,,,1343,5.0,5,,,,,,
,,,,,1351,8.0,8,,,,,,
,,,,,1358,7.0,7,,,,,,
,,,,,1369,11.0,11,,,,,,
,,,,,1372,3.0,3,,,,,,
,,,,,1377,5.0,5,,,,,,
,,,,,1386,9.0,9,,,,,,
,,,,,1404,18.0,18,,,,,,
,,,,,1416,12.0,12,,,,,,
,,,,,1423,7.0,7,,,,,,
,,,,,1431,8.0,8,,,,,,
,,,,,1434,3.0,3,,,,,,
,,,,,1440,6.0,6,,,,,,
,,,,,1444,4.0,4,,,,,,
,,,,,1451,7.0,7,,,,,,
,,,,,1456,5.0,5,,,,,,
,,,,,1460,4.0,4,,,,,,
,,,,,1466,6.0,6,,,,,,
,,,,,1469,3.0,3,,,,,,
,,,,,1472,3.0,3,,,,,,
,,,,,1480,8.0,8,,,,,,
,,,,,1483,3.0,3,,,,,,
,,,,,1488,5.0,5,,,,,,
,,,,,1504,16.0,16,,,,,,
,,,,,1524,20.0,20,,,,,,
,,,,,1528,4.0,4,,,,,,
,,,,,1539,11.0,11,,,,,,
,,,,,1542,3.0,3,,,,,,
,,,,,1558,16.0,16,,,,,,
,,,,,1561,3.0,3,,,,,,
,,,,,1567,6.0,6,,,,,,
,,,,,1572,5.0,5,,,,,,
,,,,,1575,3.0,3,,,,,,
,,,,,1580,5.0,5,,,,,,
,,,,,1585,5.0,5,,,,,,
,,,,,1589,4.0,4,,,,,,
