Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3140,53.0,53,,,,,,
,,,,,3152,12.0,12,,,,,,
,,,,,3171,19.0,19,,,,,,
,,,,,3198,27.0,27,,,,,,
,,,,,3217,19.0,19,,,,,,
,,,,,3236,19.0,19,,,,,,
,,,,,3253,17.0,17,,,,,,
,,,,,3266,13.0,13,,,,,,
,,,,,3326,60.0,60,,,,,,
,,,,,3344,18.0,18,,,,,,
,,,,,3373,29.0,29,,,,,,
,,,,,3423,50.0,50,,,,,,
,,,,,3441,18.0,18,,,,,,
,,,,,3462,21.0,21,,,,,,
,,,,,3499,37.0,37,,,,,,
,,,,,3516,17.0,17,,,,,,
,,,,,3533,17.0,17,,,,,,
,,,,,3543,10.0,10,,,,,,
,,,,,3555,12.0,12,,,,,,
,,,,,3603,48.0,48,,,,,,
,,,,,3613,10.0,10,,,,,,
,,,,,3626,13.0,13,,,,,,
,,,,,3639,13.0,13,,,,,,
,,,,,3658,19.0,19,,,,,,
,,,,,3678,20.0,20,,,,,,
,,,,,3695,17.0,17,,,,,,
,,,,,3708,13.0,13,,,,,,
,,,,,3730,22.0,22,,,,,,
,,,,,3751,21.0,21,,,,,,
,,,,,3760,9.0,9,,,,,,
,,,,,3784,24.0,24,,,,,,
,,,,,3796,12.0,12,,,,,,
,,,,,3818,22.0,22,,,,,,
,,,,,3843,25.0,25,,,,,,
,,,,,3856,13.0,13,,,,,,
,,,,,3873,17.0,17,,,,,,
,,,,,3895,22.0,22,,,,,,
,,,,,3909,14.0,14,,,,,,
,,,,,3932,23.0,23,,,,,,
,,,,,3953,21.0,21,,,,,,
,,,,,3963,10.0,10,,,,,,
,,,,,3999,36.0,36,,,,,,
,,,,,4000,,,0.12695205211639404,2.9979825019836426,2.985849142074585,0.22564198076725006,0.88,0.0005
,,,,,4012,13.0,13,,,,,,
,,,,,4025,13.0,13,,,,,,
,,,,,4037,12.0,12,,,,,,
,,,,,4048,11.0,11,,,,,,
,,,,,4063,15.0,15,,,,,,
,,,,,4072,9.0,9,,,,,,
