Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,12615,-57.33536,158,,,,,,
,,,,,12689,-146.70587,74,,,,,,
,,,,,12761,-160.80363,72,,,,,,
,,,,,12871,-218.87384,110,,,,,,
,,,,,12948,-179.00977,77,,,,,,
,,,,,13033,-161.02216,85,,,,,,
,,,,,13098,-135.2343,65,,,,,,
,,,,,13184,-110.48388,86,,,,,,
,,,,,13274,-313.06604,90,,,,,,
,,,,,13417,-211.60956,143,,,,,,
,,,,,13567,-169.83678,150,,,,,,
,,,,,13638,2.3169403,71,,,,,,
,,,,,13712,-97.76136,74,,,,,,
,,,,,13804,-108.06628,92,,,,,,
,,,,,13866,-184.32864,62,,,,,,
,,,,,13938,-99.69827,72,,,,,,
,,,,,14027,-329.4487,89,,,,,,
,,,,,14102,-151.03242,75,,,,,,
,,,,,14172,-161.05743,70,,,,,,
,,,,,14283,-101.85579,111,,,,,,
,,,,,14387,-120.40917,104,,,,,,
,,,,,14450,-180.53387,63,,,,,,
,,,,,14547,-211.39325,97,,,,,,
,,,,,14634,-335.3197,87,,,,,,
,,,,,14720,-258.89618,86,,,,,,
,,,,,14841,-270.7315,121,,,,,,
,,,,,14952,-357.80615,111,,,,,,
,,,,,15045,-220.61275,93,,,,,,
,,,,,15119,-98.54941,74,,,,,,
,,,,,15178,-119.86835,59,,,,,,
,,,,,15269,-332.8518,91,,,,,,
,,,,,15344,-190.33057,75,,,,,,
,,,,,15437,-417.60925,93,,,,,,
,,,,,15541,-440.88797,104,,,,,,
,,,,,15631,-110.99518,90,,,,,,
,,,,,15734,-217.76752,103,,,,,,
,,,,,15821,-270.16003,87,,,,,,
,,,,,15897,-164.70181,76,,,,,,
,,,,,15990,-316.72107,93,,,,,,
,,,,,16066,-103.966354,76,,,,,,
,,,,,16185,-260.5606,119,,,,,,
,,,,,16308,-325.09985,123,,,,,,
,,,,,16366,-121.35421,58,,,,,,
,,,,,16447,-330.67316,81,,,,,,
,,,,,16518,-92.44543,71,,,,,,
,,,,,16624,-297.185,106,,,,,,
,,,,,16689,-76.09072,65,,,,,,
,,,,,16799,-272.208,110,,,,,,
,,,,,16875,-94.81776,76,,,,,,
,,,,,16965,-222.80249,90,,,,,,
,,,,,17082,-84.10318,117,,,,,,
,,,,,17176,-268.7857,94,,,,,,
,,,,,17281,-112.338005,105,,,,,,
,,,,,17375,-320.20514,94,,,,,,
,,,,,17458,-99.63448,83,,,,,,
,,,,,17534,-91.960754,76,,,,,,
,,,,,17639,19.798553,105,,,,,,
,,,,,17718,-80.10562,79,,,,,,
,,,,,17818,-221.52887,100,,,,,,
,,,,,17946,-115.06736,128,,,,,,
,,,,,18015,-117.18744,69,,,,,,
,,,,,18163,-170.83936,148,,,,,,
,,,,,18243,-136.15706,80,,,,,,
,,,,,18322,-112.17912,79,,,,,,
,,,,,18424,-497.48337,102,,,,,,
,,,,,18580,-94.82395,156,,,,,,
,,,,,18676,-351.7436,96,,,,,,
,,,,,18760,-183.07819,84,,,,,,
,,,,,18912,-20.760155,152,,,,,,
,,,,,18989,-199.40556,77,,,,,,
,,,,,19071,-161.30391,82,,,,,,
,,,,,19143,-53.94023,72,,,,,,
,,,,,19217,-98.99515,74,,,,,,
