Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-851.8895,488.17807,-416.16544,-2027.443,107.3,0,,,,,,,,
,,,,,85,-124.93713,86,,,,,,
,,,,,203,-146.80035,118,,,,,,
,,,,,304,-151.73764,101,,,,,,
,,,,,384,-88.22236,80,,,,,,
,,,,,489,-128.4683,105,,,,,,
,,,,,551,-62.474693,62,,,,,,
,,,,,650,-275.05438,99,,,,,,
,,,,,783,-199.05334,133,,,,,,
,,,,,879,-225.11371,96,,,,,,
,,,,,954,-231.41171,75,,,,,,
,,,,,1060,-366.39966,106,,,,,,
,,,,,1148,-99.079575,88,,,,,,
,,,,,1213,-63.953796,65,,,,,,
,,,,,1285,-67.674545,72,,,,,,
,,,,,1400,-94.36912,115,,,,,,
,,,,,1482,-143.01248,82,,,,,,
,,,,,1554,-72.16072,72,,,,,,
,,,,,1639,-275.2784,85,,,,,,
,,,,,1733,-79.18483,94,,,,,,
,,,,,1830,-144.98123,97,,,,,,
,,,,,1924,-227.48984,94,,,,,,
,,,,,2039,-378.52704,115,,,,,,
,,,,,2129,-241.41856,90,,,,,,
,,,,,2196,-92.55692,67,,,,,,
,,,,,2304,-123.08432,108,,,,,,
,,,,,2409,-146.1507,105,,,,,,
,,,,,2469,-64.15526,60,,,,,,
,,,,,2556,-108.055504,87,,,,,,
,,,,,2685,-327.08347,129,,,,,,
,,,,,2754,-166.19028,69,,,,,,
,,,,,2853,-378.34317,99,,,,,,
,,,,,2931,-181.38431,78,,,,,,
,,,,,3015,-96.78559,84,,,,,,
,,,,,3082,-101.87415,67,,,,,,
,,,,,3179,-16.424911,97,,,,,,
,,,,,3274,-93.6877,95,,,,,,
,,,,,3426,-370.2629,152,,,,,,
,,,,,3509,-557.3928,83,,,,,,
,,,,,3610,-112.553696,101,,,,,,
,,,,,3717,-401.82135,107,,,,,,
,,,,,3828,-224.7284,111,,,,,,
,,,,,3940,-104.37048,112,,,,,,
,,,,,4088,-102.81632,148,,,,,,
,,,,,4208,-413.06314,120,,,,,,
,,,,,4336,0.43191528,128,,,,,,
,,,,,4417,-178.78842,81,,,,,,
,,,,,4508,-267.67236,91,,,,,,
,,,,,4606,-101.026245,98,,,,,,
,,,,,4672,-95.41652,66,,,,,,
,,,,,4776,-143.81702,104,,,,,,
,,,,,4863,-41.523766,87,,,,,,
,,,,,4943,-90.0885,80,,,,,,
,,,,,5047,-272.5932,104,,,,,,
,,,,,5170,-3.5831451,123,,,,,,
,,,,,5263,-206.09416,93,,,,,,
,,,,,5326,-65.72139,63,,,,,,
,,,,,5426,-175.21294,100,,,,,,
,,,,,5492,-123.85181,66,,,,,,
,,,,,5591,-382.11362,99,,,,,,
