Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-774.2829,292.61874,-447.28003,-1396.4255,108.3,0,,,,,,,,
,,,,,87,-260.83322,88,,,,,,
,,,,,165,-117.63105,78,,,,,,
,,,,,249,-179.78418,84,,,,,,
,,,,,322,-68.525665,73,,,,,,
,,,,,404,-270.99738,82,,,,,,
,,,,,528,-107.33381,124,,,,,,
,,,,,628,-185.97614,100,,,,,,
,,,,,739,-123.86362,111,,,,,,
,,,,,867,-127.194824,128,,,,,,
,,,,,930,-107.108215,63,,,,,,
,,,,,994,-97.46652,64,,,,,,
,,,,,1060,-100.00264,66,,,,,,
,,,,,1143,-117.88539,83,,,,,,
,,,,,1232,-369.72382,89,,,,,,
,,,,,1305,-151.50955,73,,,,,,
,,,,,1371,-62.267803,66,,,,,,
,,,,,1446,-131.26434,75,,,,,,
,,,,,1534,-132.71445,88,,,,,,
,,,,,1601,-106.59912,67,,,,,,
,,,,,1685,-292.79742,84,,,,,,
,,,,,1769,-12.043541,84,,,,,,
,,,,,1860,-117.63531,91,,,,,,
,,,,,1935,-237.52667,75,,,,,,
,,,,,2036,-183.5901,101,,,,,,
,,,,,2137,-112.4128,101,,,,,,
,,,,,2214,-205.15515,77,,,,,,
,,,,,2286,-191.3235,72,,,,,,
,,,,,2379,-343.11145,93,,,,,,
,,,,,2477,-113.33823,98,,,,,,
,,,,,2544,-173.49469,67,,,,,,
,,,,,2663,-567.4119,119,,,,,,
,,,,,2746,-126.3134,83,,,,,,
,,,,,2818,-308.0312,72,,,,,,
,,,,,2888,-139.34445,70,,,,,,
,,,,,2959,-201.80899,71,,,,,,
,,,,,3054,-156.19669,95,,,,,,
,,,,,3159,-179.71388,105,,,,,,
,,,,,3250,-290.90692,91,,,,,,
,,,,,3343,-189.17354,93,,,,,,
,,,,,3429,-123.90552,86,,,,,,
,,,,,3511,-504.67377,82,,,,,,
,,,,,3628,-128.78665,117,,,,,,
,,,,,3700,-87.26774,72,,,,,,
,,,,,3763,-126.75801,63,,,,,,
,,,,,3825,-56.25678,62,,,,,,
,,,,,3884,-65.769775,59,,,,,,
,,,,,3995,-398.98886,111,,,,,,
,,,,,4097,-394.22385,102,,,,,,
,,,,,4226,-392.70932,129,,,,,,
,,,,,4307,-127.18131,81,,,,,,
,,,,,4425,-80.668274,118,,,,,,
,,,,,4532,-402.22708,107,,,,,,
,,,,,4602,-99.60184,70,,,,,,
,,,,,4685,-67.00473,83,,,,,,
,,,,,4777,-158.4105,92,,,,,,
,,,,,4854,-111.067665,77,,,,,,
,,,,,4946,-104.36139,92,,,,,,
,,,,,5049,-257.86365,103,,,,,,
,,,,,5127,-217.64093,78,,,,,,
,,,,,5200,-99.93612,73,,,,,,
,,,,,5304,-273.99548,104,,,,,,
,,,,,5431,-132.05551,127,,,,,,
