Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-262.39255,119.57463,-40.984955,-435.4628,1000.0,0,,,,,,,,,,
,,,,,999,-229.81396,1000,,,,,,,,
,,,,,1999,-368.5893,1000,,,,,,,,
,,,,,2999,-237.71153,1000,,,,,,,,
,,,,,3999,-345.27188,1000,,,,,,,,
,,,,,4999,-292.4355,1000,,,,,,,,
-239.43405,63.27441,-122.23014,-322.2457,1000.0,5000,,,,,,,,,,
,,,,,5999,-195.26784,1000,,,,,,,,
,,,,,6999,-255.53659,1000,,,,,,,,
,,,,,7999,-373.60016,1000,,,,,,,,
,,,,,8999,-185.43,1000,,,,,,,,
,,,,,9999,-153.18167,1000,,,,,,,,
-277.80594,82.287,-150.26674,-446.63318,1000.0,10000,,,-0.3441779315471649,3.754848003387451,0.8711395263671875,-0.025872383266687393,-0.6731033325195312,0.0003,0.0003,0.1
