Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-266.33017,84.532486,-157.87502,-447.46808,1000.0,0,,,,,,,,,,,,
,,,,,999,-354.60205,1000,,,,,,,,,,
,,,,,1999,-350.77737,1000,,,,,,,,,,
,,,,,2999,-242.84001,1000,,,,,,,,,,
,,,,,3999,-224.1457,1000,,,,,,,,,,
,,,,,4999,-311.9531,1000,,,,,,,,,,
-282.98248,53.575733,-187.24606,-395.36426,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-180.85368,1000,,,,,,,,,,
,,,,,6999,-224.79036,1000,,,,,,,,,,
,,,,,7999,-205.76208,1000,,,,,,,,,,
,,,,,8999,-176.48016,1000,,,,,,,,,,
,,,,,9999,-213.1062,1000,,,,,,,,,,
-274.31653,47.96733,-188.67204,-378.60092,1000.0,10000,,,-0.3682558834552765,3.756382465362549,0.4670429825782776,-0.020532382652163506,0.07882743328809738,0.09999999403953552,-22.526540756225586,0.0003,0.0003,0.09999001026153564
,,,,,10999,-219.55891,1000,,,,,,,,,,
,,,,,11000,,,-2.0200014114379883,2.1949403285980225,0.4514036178588867,1.308129072189331,1.4131121635437012,0.090643510222435,-20.113073348999023,0.0003,0.0003,0.09063464403152466
,,,,,11999,-214.78845,1000,,,,,,,,,,
,,,,,12000,,,-3.2799015045166016,2.3605732917785645,0.6545355319976807,2.7894246578216553,2.8350744247436523,0.08202411979436874,-21.331745147705078,0.0003,0.0003,0.08201594650745392
,,,,,12999,-290.54922,1000,,,,,,,,,,
,,,,,13000,,,-4.9638848304748535,1.6136281490325928,0.7125983834266663,4.2594404220581055,4.208523273468018,0.07449688762426376,-20.228639602661133,0.0003,0.0003,0.07448988407850266
,,,,,13999,-225.11186,1000,,,,,,,,,,
,,,,,14000,,,-7.574564456939697,1.2945690155029297,0.8160483241081238,6.723775863647461,6.646675109863281,0.06781730055809021,-19.988832473754883,0.0003,0.0003,0.06781093031167984
,,,,,14999,-204.55229,1000,,,,,,,,,,
-176.66154,49.48015,-118.025,-289.61234,1000.0,15000,,,-9.452725410461426,1.2203428745269775,0.6455373764038086,8.733789443969727,8.631864547729492,0.06172993779182434,-19.839794158935547,0.0003,0.0003,0.06172396242618561
,,,,,15999,-73.069725,1000,,,,,,,,,,
,,,,,16000,,,-11.450301170349121,0.8302630186080933,0.4273776113986969,10.770833015441895,10.801592826843262,0.05609019473195076,-19.19498634338379,0.0003,0.0003,0.05608478933572769
,,,,,16999,-25.313616,1000,,,,,,,,,,
,,,,,17000,,,-12.549652099609375,0.24846133589744568,0.3911047577857971,11.888068199157715,11.893953323364258,0.050984907895326614,-19.387388229370117,0.0003,0.0003,0.05098005756735802
,,,,,17999,58.455696,1000,,,,,,,,,,
,,,,,18000,,,-13.770983695983887,-0.19861513376235962,0.40339425206184387,13.163993835449219,12.987377166748047,0.046376608312129974,-18.22779655456543,0.0003,0.0003,0.04637233167886734
,,,,,18999,100.65884,1000,,,,,,,,,,
,,,,,19000,,,-15.973920822143555,-0.5471575260162354,0.4015563130378723,15.186513900756836,15.372729301452637,0.04220758378505707,-15.851338386535645,0.0003,0.0003,0.04220374673604965
,,,,,19999,249.12976,1000,,,,,,,,,,
570.8597,235.65947,953.5225,245.60902,1000.0,20000,,,-15.11331844329834,-0.9434217214584351,0.4759499728679657,14.442282676696777,14.524669647216797,0.03852914646267891,-16.94803237915039,0.0003,0.0003,0.038525599986314774
,,,,,20999,496.2866,1000,,,,,,,,,,
,,,,,21000,,,-18.546260833740234,-1.9450489282608032,0.4430842697620392,17.865604400634766,17.909332275390625,0.03526563569903374,-14.08487319946289,0.0003,0.0003,0.0352625697851181
,,,,,21999,462.28427,1000,,,,,,,,,,
,,,,,22000,,,-21.40285873413086,-2.4587881565093994,0.39222484827041626,20.687179565429688,20.719043731689453,0.03238406032323837,-12.839073181152344,0.0003,0.0003,0.03238127753138542
,,,,,22999,484.4728,1000,,,,,,,,,,
,,,,,23000,,,-20.709728240966797,-2.8729724884033203,0.5288687944412231,19.901552200317383,20.083595275878906,0.029816890135407448,-11.631126403808594,0.0003,0.0003,0.02981439419090748
,,,,,23999,462.09494,1000,,,,,,,,,,
,,,,,24000,,,-22.291152954101562,-3.251917600631714,0.7508293986320496,21.536087036132812,21.66242218017578,0.02746916189789772,-9.814367294311523,0.0003,0.0003,0.027466896921396255
,,,,,24999,402.0462,1000,,,,,,,,,,
801.5674,213.21745,1071.4697,402.79935,1000.0,25000,,,-26.01897430419922,-3.441725254058838,0.39523038268089294,25.218997955322266,25.24828338623047,0.025236044079065323,-8.842677116394043,0.0003,0.0003,0.025233829393982887
,,,,,25999,472.8558,1000,,,,,,,,,,
,,,,,26000,,,-28.706504821777344,-3.677036762237549,0.584936261177063,28.102096557617188,27.983869552612305,0.02312958985567093,-9.071836471557617,0.0003,0.0003,0.023127537220716476
,,,,,26999,1058.4241,1000,,,,,,,,,,
,,,,,27000,,,-30.54388427734375,-4.174993991851807,0.564120352268219,29.837242126464844,29.81454086303711,0.02117510698735714,-6.474788188934326,0.0003,0.0003,0.02117334119975567
,,,,,27999,1102.5317,1000,,,,,,,,,,
,,,,,28000,,,-32.870906829833984,-4.033545970916748,0.43198472261428833,32.057472229003906,32.10321044921875,0.019522124901413918,-6.925933361053467,0.0003,0.0003,0.019520506262779236
,,,,,28999,1171.7847,1000,,,,,,,,,,
,,,,,29000,,,-36.770259857177734,-5.275066375732422,0.4672127068042755,36.067264556884766,36.03443145751953,0.01818539761006832,-3.250645637512207,0.0003,0.0003,0.018184131011366844
,,,,,29999,1244.2662,1000,,,,,,,,,,
1260.599,28.321867,1296.2754,1197.01,1000.0,30000,,,-41.101993560791016,-5.293484687805176,0.4483805000782013,40.277198791503906,40.20824432373047,0.017123855650424957,-2.176182746887207,0.0003,0.0003,0.017123186960816383
,,,,,30999,1386.4413,1000,,,,,,,,,,
,,,,,31000,,,-47.3109245300293,-5.844243049621582,0.3831530809402466,46.57563781738281,46.57049560546875,0.01644488424062729,-0.5906016826629639,0.0003,0.0003,0.0164444912225008
,,,,,31999,1524.6649,1000,,,,,,,,,,
,,,,,32000,,,-49.25045394897461,-6.314441680908203,0.39920470118522644,48.37928009033203,48.301979064941406,0.016259286552667618,0.1479644477367401,0.0003,0.0003,0.01625932566821575
