Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
5.7,2.238303,10.0,3.0,5.7,0,,,,,,,,,,,,
,,,,,10,11.0,11,,,,,,,,,,
,,,,,13,3.0,3,,,,,,,,,,
,,,,,21,8.0,8,,,,,,,,,,
,,,,,26,5.0,5,,,,,,,,,,
,,,,,36,10.0,10,,,,,,,,,,
,,,,,39,3.0,3,,,,,,,,,,
,,,,,42,3.0,3,,,,,,,,,,
,,,,,52,10.0,10,,,,,,,,,,
,,,,,63,11.0,11,,,,,,,,,,
,,,,,76,13.0,13,,,,,,,,,,
,,,,,84,8.0,8,,,,,,,,,,
,,,,,88,4.0,4,,,,,,,,,,
,,,,,92,4.0,4,,,,,,,,,,
,,,,,98,6.0,6,,,,,,,,,,
,,,,,101,3.0,3,,,,,,,,,,
,,,,,113,12.0,12,,,,,,,,,,
,,,,,124,11.0,11,,,,,,,,,,
,,,,,127,3.0,3,,,,,,,,,,
,,,,,132,5.0,5,,,,,,,,,,
,,,,,141,9.0,9,,,,,,,,,,
,,,,,149,8.0,8,,,,,,,,,,
,,,,,155,6.0,6,,,,,,,,,,
,,,,,164,9.0,9,,,,,,,,,,
,,,,,177,13.0,13,,,,,,,,,,
,,,,,183,6.0,6,,,,,,,,,,
,,,,,186,3.0,3,,,,,,,,,,
,,,,,195,9.0,9,,,,,,,,,,
,,,,,200,5.0,5,,,,,,,,,,
,,,,,203,3.0,3,,,,,,,,,,
,,,,,209,6.0,6,,,,,,,,,,
,,,,,215,6.0,6,,,,,,,,,,
,,,,,222,7.0,7,,,,,,,,,,
,,,,,232,10.0,10,,,,,,,,,,
,,,,,235,3.0,3,,,,,,,,,,
,,,,,249,14.0,14,,,,,,,,,,
,,,,,252,3.0,3,,,,,,,,,,
,,,,,257,5.0,5,,,,,,,,,,
,,,,,264,7.0,7,,,,,,,,,,
,,,,,275,11.0,11,,,,,,,,,,
,,,,,287,12.0,12,,,,,,,,,,
,,,,,294,7.0,7,,,,,,,,,,
,,,,,307,13.0,13,,,,,,,,,,
,,,,,318,11.0,11,,,,,,,,,,
,,,,,322,4.0,4,,,,,,,,,,
,,,,,336,14.0,14,,,,,,,,,,
,,,,,340,4.0,4,,,,,,,,,,
,,,,,346,6.0,6,,,,,,,,,,
,,,,,350,4.0,4,,,,,,,,,,
,,,,,356,6.0,6,,,,,,,,,,
,,,,,359,3.0,3,,,,,,,,,,
,,,,,363,4.0,4,,,,,,,,,,
,,,,,368,5.0,5,,,,,,,,,,
,,,,,371,3.0,3,,,,,,,,,,
,,,,,378,7.0,7,,,,,,,,,,
,,,,,387,9.0,9,,,,,,,,,,
,,,,,401,14.0,14,,,,,,,,,,
,,,,,404,3.0,3,,,,,,,,,,
,,,,,407,3.0,3,,,,,,,,,,
,,,,,411,4.0,4,,,,,,,,,,
,,,,,419,8.0,8,,,,,,,,,,
,,,,,427,8.0,8,,,,,,,,,,
,,,,,444,17.0,17,,,,,,,,,,
,,,,,450,6.0,6,,,,,,,,,,
,,,,,456,6.0,6,,,,,,,,,,
,,,,,465,9.0,9,,,,,,,,,,
,,,,,469,4.0,4,,,,,,,,,,
,,,,,477,8.0,8,,,,,,,,,,
,,,,,481,4.0,4,,,,,,,,,,
,,,,,484,3.0,3,,,,,,,,,,
,,,,,489,5.0,5,,,,,,,,,,
,,,,,494,5.0,5,,,,,,,,,,
,,,,,501,7.0,7,,,,,,,,,,
,,,,,507,6.0,6,,,,,,,,,,
,,,,,520,13.0,13,,,,,,,,,,
,,,,,523,3.0,3,,,,,,,,,,
,,,,,532,9.0,9,,,,,,,,,,
,,,,,537,5.0,5,,,,,,,,,,
,,,,,545,8.0,8,,,,,,,,,,
,,,,,549,4.0,4,,,,,,,,,,
,,,,,558,9.0,9,,,,,,,,,,
,,,,,567,9.0,9,,,,,,,,,,
,,,,,571,4.0,4,,,,,,,,,,
,,,,,575,4.0,4,,,,,,,,,,
,,,,,578,3.0,3,,,,,,,,,,
,,,,,582,4.0,4,,,,,,,,,,
,,,,,593,11.0,11,,,,,,,,,,
,,,,,596,3.0,3,,,,,,,,,,
,,,,,600,4.0,4,,,,,,,,,,
,,,,,604,4.0,4,,,,,,,,,,
,,,,,607,3.0,3,,,,,,,,,,
,,,,,613,6.0,6,,,,,,,,,,
,,,,,617,4.0,4,,,,,,,,,,
