Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-236.27332,63.657513,-92.902245,-320.9485,1000.0,0,,,,,,,,,,
,,,,,999,-305.31976,1000,,,,,,,,
,,,,,1999,-516.21344,1000,,,,,,,,
,,,,,2999,-374.5002,1000,,,,,,,,
,,,,,3999,-187.0463,1000,,,,,,,,
,,,,,4999,-311.645,1000,,,,,,,,
-252.01836,47.226437,-171.96284,-319.22333,1000.0,5000,,,,,,,,,,
,,,,,5999,-236.72887,1000,,,,,,,,
,,,,,6999,-292.3766,1000,,,,,,,,
,,,,,7999,-240.52124,1000,,,,,,,,
,,,,,8999,-183.71068,1000,,,,,,,,
,,,,,9999,-258.07104,1000,,,,,,,,
-234.97104,86.23333,-138.31874,-402.3534,1000.0,10000,,,-0.3274049758911133,3.6554417610168457,1.0280574560165405,-0.012713784351944923,-0.7783972024917603,0.0003,0.0003,0.1
,,,,,10999,-229.88472,1000,,,,,,,,
,,,,,11000,,,1.0510332584381104,3.155440330505371,0.532017707824707,-1.6297435760498047,-1.6395407915115356,0.0003,0.0003,0.1
,,,,,11999,-195.29422,1000,,,,,,,,
,,,,,12000,,,2.075981378555298,2.3266541957855225,0.6619361639022827,-2.6975603103637695,-2.7677388191223145,0.0003,0.0003,0.1
,,,,,12999,-126.20319,1000,,,,,,,,
,,,,,13000,,,2.2843384742736816,1.9377613067626953,1.0887540578842163,-3.0332305431365967,-3.002274990081787,0.0003,0.0003,0.1
,,,,,13999,-235.08383,1000,,,,,,,,
,,,,,14000,,,2.2561309337615967,2.030730724334717,0.9331961870193481,-3.0635976791381836,-2.9180216789245605,0.0003,0.0003,0.1
,,,,,14999,-294.82916,1000,,,,,,,,
-279.9536,19.944546,-241.33629,-308.77808,1000.0,15000,,,0.8086226582527161,1.579270601272583,0.7668986320495605,-1.8596279621124268,-1.783451795578003,0.0003,0.0003,0.1
,,,,,15999,-229.71068,1000,,,,,,,,
,,,,,16000,,,-1.221663236618042,1.881382703781128,0.7621971368789673,0.30681440234184265,0.27733534574508667,0.0003,0.0003,0.1
,,,,,16999,-198.83223,1000,,,,,,,,
,,,,,17000,,,-2.1747241020202637,1.6587517261505127,0.632096529006958,1.2813315391540527,1.1678681373596191,0.0003,0.0003,0.1
,,,,,17999,128.85977,1000,,,,,,,,
,,,,,18000,,,-2.0050766468048096,2.2042856216430664,0.6760161519050598,1.1743485927581787,1.0682907104492188,0.0003,0.0003,0.1
,,,,,18999,57.151527,1000,,,,,,,,
,,,,,19000,,,-4.023130416870117,2.112560749053955,0.6576112508773804,3.1980538368225098,3.1706366539001465,0.0003,0.0003,0.1
,,,,,19999,616.46954,1000,,,,,,,,
917.3128,260.56714,1092.4591,337.26315,1000.0,20000,,,-3.0791306495666504,1.3956139087677002,0.6903210878372192,2.2947585582733154,2.372797966003418,0.0003,0.0003,0.1
