Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-754.64703,385.2178,-441.13223,-1877.2987,102.5,0,,,,,,,,
,,,,,68,-112.93775,69,,,,,,
,,,,,160,-108.592964,92,,,,,,
,,,,,255,-333.62244,95,,,,,,
,,,,,328,-145.74033,73,,,,,,
,,,,,424,-147.32176,96,,,,,,
,,,,,503,-214.9143,79,,,,,,
,,,,,600,-117.66178,97,,,,,,
,,,,,704,-214.54132,104,,,,,,
,,,,,773,-56.60962,69,,,,,,
,,,,,872,-143.72366,99,,,,,,
,,,,,983,-71.94965,111,,,,,,
,,,,,1079,-213.02121,96,,,,,,
,,,,,1187,-142.89536,108,,,,,,
,,,,,1310,-395.14624,123,,,,,,
,,,,,1401,5.0003357,91,,,,,,
,,,,,1484,-123.29557,83,,,,,,
,,,,,1580,-180.77402,96,,,,,,
,,,,,1667,-115.078835,87,,,,,,
,,,,,1800,-88.50379,133,,,,,,
,,,,,1887,-83.054756,87,,,,,,
,,,,,1987,-324.43018,100,,,,,,
,,,,,2053,-67.554214,66,,,,,,
,,,,,2110,-153.02116,57,,,,,,
,,,,,2250,-113.67458,140,,,,,,
,,,,,2321,-109.4342,71,,,,,,
,,,,,2439,-372.39023,118,,,,,,
,,,,,2555,-285.78232,116,,,,,,
,,,,,2683,-122.34015,128,,,,,,
,,,,,2790,-339.7541,107,,,,,,
,,,,,2913,-43.978485,123,,,,,,
,,,,,2979,-112.06804,66,,,,,,
,,,,,3060,-23.866982,81,,,,,,
,,,,,3146,-117.54475,86,,,,,,
,,,,,3208,-111.538635,62,,,,,,
,,,,,3322,-112.13205,114,,,,,,
,,,,,3429,-191.08798,107,,,,,,
,,,,,3491,-159.13629,62,,,,,,
,,,,,3577,-114.12943,86,,,,,,
,,,,,3657,-95.864456,80,,,,,,
,,,,,3718,-102.01761,61,,,,,,
,,,,,3802,-121.550964,84,,,,,,
,,,,,3908,-211.21307,106,,,,,,
,,,,,3998,-98.14058,90,,,,,,
,,,,,4077,-92.46479,79,,,,,,
,,,,,4171,-381.55872,94,,,,,,
,,,,,4290,-311.0545,119,,,,,,
,,,,,4375,-292.0428,85,,,,,,
,,,,,4482,-223.76132,107,,,,,,
,,,,,4557,19.10073,75,,,,,,
,,,,,4629,-146.80019,72,,,,,,
,,,,,4723,-238.86998,94,,,,,,
,,,,,4832,-403.9979,109,,,,,,
,,,,,4898,-145.26515,66,,,,,,
,,,,,4988,-134.41495,90,,,,,,
,,,,,5123,-140.6583,135,,,,,,
,,,,,5187,-178.72253,64,,,,,,
,,,,,5307,-186.6034,120,,,,,,
,,,,,5413,-309.8506,106,,,,,,
,,,,,5498,-358.35077,85,,,,,,
,,,,,5571,-74.30445,73,,,,,,
,,,,,5670,-340.66614,99,,,,,,
,,,,,5742,-118.88172,72,,,,,,
,,,,,5816,-122.45535,74,,,,,,
,,,,,5920,-330.35608,104,,,,,,
,,,,,5984,-80.3436,64,,,,,,
,,,,,6063,-324.9185,79,,,,,,
,,,,,6158,-229.20375,95,,,,,,
,,,,,6242,-364.50623,84,,,,,,
,,,,,6327,-1.4101486,85,,,,,,
,,,,,6420,-73.76881,93,,,,,,
,,,,,6504,-84.73169,84,,,,,,
,,,,,6614,-171.9544,110,,,,,,
,,,,,6704,-328.25745,90,,,,,,
,,,,,6776,-73.16681,72,,,,,,
,,,,,6882,-356.69595,106,,,,,,
,,,,,6977,-330.81577,95,,,,,,
,,,,,7100,-78.00323,123,,,,,,
,,,,,7173,-342.22308,73,,,,,,
,,,,,7231,-117.378845,58,,,,,,
,,,,,7328,-134.10742,97,,,,,,
,,,,,7472,-15.390358,144,,,,,,
,,,,,7573,-123.32219,101,,,,,,
,,,,,7687,-195.66757,114,,,,,,
,,,,,7769,-88.31168,82,,,,,,
,,,,,7841,-102.78113,72,,,,,,
,,,,,7926,-94.016266,85,,,,,,
,,,,,7993,-119.76081,67,,,,,,
,,,,,8069,-133.89594,76,,,,,,
,,,,,8176,-124.632065,107,,,,,,
,,,,,8264,-175.05139,88,,,,,,
,,,,,8339,-109.91271,75,,,,,,
,,,,,8415,-341.8701,76,,,,,,
,,,,,8481,-119.04242,66,,,,,,
,,,,,8586,-240.46944,105,,,,,,
,,,,,8671,-98.12916,85,,,,,,
,,,,,8757,-242.08195,86,,,,,,
,,,,,8850,-133.93033,93,,,,,,
,,,,,8935,-97.838135,85,,,,,,
,,,,,9034,-466.92093,99,,,,,,
,,,,,9112,-105.406784,78,,,,,,
,,,,,9221,-275.31146,109,,,,,,
,,,,,9311,-353.1908,90,,,,,,
,,,,,9423,-157.03922,112,,,,,,
,,,,,9532,-291.90155,109,,,,,,
,,,,,9596,-57.8415,64,,,,,,
,,,,,9724,-254.6811,128,,,,,,
,,,,,9788,-95.28494,64,,,,,,
,,,,,9904,-416.85837,116,,,,,,
,,,,,9980,-156.7131,76,,,,,,
-826.39124,422.2414,-368.66254,-1553.863,116.2,10000,,,,,,,,
,,,,,10072,-124.98805,92,,,,,,
,,,,,10145,-147.75604,73,,,,,,
,,,,,10251,-273.0222,106,,,,,,
,,,,,10369,-208.383,118,,,,,,
,,,,,10464,-120.21686,95,,,,,,
,,,,,10521,-82.51463,57,,,,,,
,,,,,10615,-82.22749,94,,,,,,
,,,,,10711,-164.86319,96,,,,,,
,,,,,10796,-142.16107,85,,,,,,
,,,,,10862,-85.49895,66,,,,,,
,,,,,10948,-228.80066,86,,,,,,
,,,,,11038,-161.67697,90,,,,,,
,,,,,11146,-165.2464,108,,,,,,
,,,,,11217,-98.53475,71,,,,,,
,,,,,11301,-411.07553,84,,,,,,
,,,,,11408,-302.35754,107,,,,,,
,,,,,11498,-100.08327,90,,,,,,
,,,,,11580,-123.368805,82,,,,,,
,,,,,11669,-171.52295,89,,,,,,
,,,,,11784,-335.44824,115,,,,,,
,,,,,11866,-83.00186,82,,,,,,
,,,,,11952,-109.158554,86,,,,,,
,,,,,12094,-107.44973,142,,,,,,
