Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-878.29803,380.53378,-440.04733,-1805.7599,115.5,0,,,,,,,,
,,,,,105,-120.34876,106,,,,,,
,,,,,214,-223.82172,109,,,,,,
,,,,,274,-76.53848,60,,,,,,
,,,,,365,14.464539,91,,,,,,
,,,,,426,-86.43709,61,,,,,,
,,,,,514,-132.36551,88,,,,,,
,,,,,621,-97.97815,107,,,,,,
,,,,,742,-104.55571,121,,,,,,
,,,,,839,-149.85077,97,,,,,,
,,,,,914,-169.4986,75,,,,,,
,,,,,1001,-246.1796,87,,,,,,
,,,,,1087,-84.58137,86,,,,,,
,,,,,1168,-150.93944,81,,,,,,
,,,,,1267,-282.4024,99,,,,,,
,,,,,1362,-99.81705,95,,,,,,
,,,,,1433,-189.80623,71,,,,,,
,,,,,1507,-169.34988,74,,,,,,
,,,,,1598,-151.50925,91,,,,,,
,,,,,1678,-109.9191,80,,,,,,
,,,,,1747,-104.64571,69,,,,,,
,,,,,1839,-106.45301,92,,,,,,
,,,,,1929,-176.6708,90,,,,,,
,,,,,2029,-129.8703,100,,,,,,
,,,,,2118,-431.7211,89,,,,,,
,,,,,2183,-128.40813,65,,,,,,
,,,,,2259,-70.7636,76,,,,,,
,,,,,2330,-208.96637,71,,,,,,
,,,,,2418,-147.11902,88,,,,,,
,,,,,2536,-207.33437,118,,,,,,
,,,,,2603,-171.4102,67,,,,,,
,,,,,2676,-102.57928,73,,,,,,
,,,,,2745,-152.19589,69,,,,,,
,,,,,2814,-87.57461,69,,,,,,
,,,,,2914,-368.32867,100,,,,,,
,,,,,2994,-119.76476,80,,,,,,
,,,,,3062,-186.23892,68,,,,,,
,,,,,3134,-164.39645,72,,,,,,
,,,,,3229,-240.05815,95,,,,,,
,,,,,3324,-118.42728,95,,,,,,
,,,,,3411,-437.47903,87,,,,,,
,,,,,3508,-288.00818,97,,,,,,
,,,,,3603,-136.08733,95,,,,,,
,,,,,3684,-330.67963,81,,,,,,
,,,,,3781,-338.04623,97,,,,,,
,,,,,3880,-217.96246,99,,,,,,
,,,,,3969,-96.37816,89,,,,,,
,,,,,4049,-110.52438,80,,,,,,
,,,,,4176,-342.93036,127,,,,,,
,,,,,4257,-140.67041,81,,,,,,
,,,,,4335,-39.586376,78,,,,,,
,,,,,4412,-74.076996,77,,,,,,
,,,,,4473,-69.46579,61,,,,,,
,,,,,4613,28.992966,140,,,,,,
,,,,,4736,-170.49968,123,,,,,,
,,,,,4864,-227.60902,128,,,,,,
,,,,,4928,-87.87861,64,,,,,,
,,,,,5020,-77.10567,92,,,,,,
,,,,,5095,-53.788483,75,,,,,,
,,,,,5188,-324.28772,93,,,,,,
,,,,,5265,-169.20032,77,,,,,,
,,,,,5365,-306.87476,100,,,,,,
,,,,,5427,-82.128815,62,,,,,,
,,,,,5490,-137.97762,63,,,,,,
,,,,,5618,-333.0694,128,,,,,,
,,,,,5705,-69.34057,87,,,,,,
,,,,,5787,-224.79536,82,,,,,,
,,,,,5914,-471.47308,127,,,,,,
,,,,,6012,-162.46939,98,,,,,,
,,,,,6077,-97.52817,65,,,,,,
,,,,,6175,-187.05392,98,,,,,,
,,,,,6306,-344.6789,131,,,,,,
,,,,,6401,-454.6462,95,,,,,,
,,,,,6519,-148.77982,118,,,,,,
,,,,,6608,-115.62371,89,,,,,,
,,,,,6698,-99.446495,90,,,,,,
,,,,,6769,-48.947544,71,,,,,,
,,,,,6876,-406.01834,107,,,,,,
,,,,,6981,-301.0052,105,,,,,,
,,,,,7106,-279.1753,125,,,,,,
,,,,,7214,-221.82227,108,,,,,,
,,,,,7312,-118.15742,98,,,,,,
,,,,,7387,-75.86324,75,,,,,,
,,,,,7470,-82.452255,83,,,,,,
,,,,,7553,-139.48984,83,,,,,,
,,,,,7677,-113.15237,124,,,,,,
,,,,,7735,-101.77338,58,,,,,,
,,,,,7859,-118.13876,124,,,,,,
,,,,,7915,-116.32866,56,,,,,,
,,,,,7982,-62.934914,67,,,,,,
,,,,,8072,-376.3073,90,,,,,,
,,,,,8138,-93.01114,66,,,,,,
,,,,,8207,-59.670227,69,,,,,,
,,,,,8324,-167.84515,117,,,,,,
,,,,,8459,-551.1569,135,,,,,,
,,,,,8528,-116.713715,69,,,,,,
,,,,,8612,-77.625046,84,,,,,,
,,,,,8696,-110.61218,84,,,,,,
,,,,,8766,-156.83359,70,,,,,,
,,,,,8870,-94.41427,104,,,,,,
,,,,,8959,-96.47653,89,,,,,,
,,,,,9044,-419.56204,85,,,,,,
,,,,,9146,-92.60912,102,,,,,,
,,,,,9264,-196.13663,118,,,,,,
,,,,,9386,-355.96,122,,,,,,
,,,,,9497,-135.34708,111,,,,,,
,,,,,9613,-357.68802,116,,,,,,
,,,,,9717,-226.11908,104,,,,,,
,,,,,9810,-273.31525,93,,,,,,
,,,,,9891,-145.40277,81,,,,,,
-936.83185,525.6036,-439.5843,-2322.0571,112.7,10000,,,,,,,,
,,,,,10012,-275.58832,121,,,,,,
,,,,,10092,-110.96356,80,,,,,,
,,,,,10167,-130.80049,75,,,,,,
,,,,,10261,-373.91888,94,,,,,,
,,,,,10366,-260.56534,105,,,,,,
,,,,,10458,-236.03748,92,,,,,,
,,,,,10552,-110.58864,94,,,,,,
,,,,,10627,-71.514046,75,,,,,,
,,,,,10707,-165.29639,80,,,,,,
,,,,,10839,-131.64693,132,,,,,,
,,,,,10908,-201.10446,69,,,,,,
,,,,,10999,-375.13284,91,,,,,,
,,,,,11082,-232.8041,83,,,,,,
,,,,,11160,-121.663765,78,,,,,,
,,,,,11283,-446.81552,123,,,,,,
,,,,,11383,-278.89188,100,,,,,,
,,,,,11478,-2.339981,95,,,,,,
,,,,,11577,-171.26076,99,,,,,,
,,,,,11667,-391.9779,90,,,,,,
,,,,,11736,-273.8325,69,,,,,,
,,,,,11819,-278.54062,83,,,,,,
,,,,,11922,-350.7489,103,,,,,,
,,,,,11990,-100.05251,68,,,,,,
,,,,,12065,-90.17598,75,,,,,,
,,,,,12176,-422.0606,111,,,,,,
,,,,,12237,-110.82834,61,,,,,,
,,,,,12300,-80.41915,63,,,,,,
,,,,,12387,-110.999886,87,,,,,,
,,,,,12569,-134.21207,182,,,,,,
,,,,,12676,-446.42038,107,,,,,,
,,,,,12739,-87.55608,63,,,,,,
,,,,,12834,-267.2398,95,,,,,,
,,,,,12921,-337.73297,87,,,,,,
,,,,,12998,-311.02203,77,,,,,,
,,,,,13085,-436.53256,87,,,,,,
,,,,,13171,-147.19588,86,,,,,,
,,,,,13272,-326.4716,101,,,,,,
,,,,,13350,-83.1846,78,,,,,,
,,,,,13437,-151.70535,87,,,,,,
,,,,,13584,-113.51915,147,,,,,,
,,,,,13670,-208.8529,86,,,,,,
,,,,,13753,-245.60077,83,,,,,,
,,,,,13865,-226.89095,112,,,,,,
,,,,,13985,-211.2024,120,,,,,,
,,,,,14083,-154.76506,98,,,,,,
,,,,,14162,-157.08446,79,,,,,,
,,,,,14231,-190.76215,69,,,,,,
,,,,,14302,-83.68809,71,,,,,,
,,,,,14386,-169.41156,84,,,,,,
,,,,,14475,-314.1766,89,,,,,,
,,,,,14558,-127.61867,83,,,,,,
,,,,,14658,-92.58821,100,,,,,,
,,,,,14723,-143.30103,65,,,,,,
,,,,,14824,-441.18857,101,,,,,,
,,,,,14900,-215.5845,76,,,,,,
,,,,,15004,-378.47833,104,,,,,,
,,,,,15106,-131.23143,102,,,,,,
,,,,,15212,-254.83493,106,,,,,,
,,,,,15352,-255.0428,140,,,,,,
,,,,,15426,-135.38428,74,,,,,,
,,,,,15491,-334.32892,65,,,,,,
,,,,,15578,-132.3994,87,,,,,,
,,,,,15670,-106.21199,92,,,,,,
,,,,,15761,-334.48834,91,,,,,,
,,,,,15852,-362.2779,91,,,,,,
,,,,,15961,-248.27141,109,,,,,,
,,,,,16043,-161.29524,82,,,,,,
,,,,,16164,-211.71664,121,,,,,,
,,,,,16272,-155.87024,108,,,,,,
,,,,,16353,-160.683,81,,,,,,
,,,,,16421,-101.90457,68,,,,,,
,,,,,16487,-66.67636,66,,,,,,
,,,,,16558,-147.04831,71,,,,,,
,,,,,16711,-371.90186,153,,,,,,
,,,,,16818,-485.20688,107,,,,,,
,,,,,16910,-164.71223,92,,,,,,
,,,,,16986,-100.10564,76,,,,,,
,,,,,17046,-82.83023,60,,,,,,
,,,,,17115,-77.619705,69,,,,,,
,,,,,17192,-151.95699,77,,,,,,
,,,,,17324,-160.3762,132,,,,,,
,,,,,17422,-450.1351,98,,,,,,
,,,,,17490,-274.8688,68,,,,,,
,,,,,17558,-155.28276,68,,,,,,
,,,,,17631,-79.62503,73,,,,,,
,,,,,17722,-279.61688,91,,,,,,
,,,,,17786,-152.6872,64,,,,,,
,,,,,17889,-190.03699,103,,,,,,
,,,,,18015,-259.75443,126,,,,,,
,,,,,18132,-153.39685,117,,,,,,
,,,,,18213,-139.90039,81,,,,,,
,,,,,18322,-176.03284,109,,,,,,
,,,,,18389,-65.373085,67,,,,,,
,,,,,18466,-267.3645,77,,,,,,
,,,,,18594,-102.606514,128,,,,,,
,,,,,18720,-148.62592,126,,,,,,
,,,,,18801,-289.5528,81,,,,,,
,,,,,18935,-148.73215,134,,,,,,
,,,,,19010,-91.2123,75,,,,,,
,,,,,19104,-289.55768,94,,,,,,
,,,,,19244,-131.28093,140,,,,,,
,,,,,19341,-92.82081,97,,,,,,
,,,,,19428,-303.4607,87,,,,,,
,,,,,19542,-267.5198,114,,,,,,
,,,,,19643,-276.44855,101,,,,,,
,,,,,19726,-226.46901,83,,,,,,
,,,,,19801,-82.72646,75,,,,,,
,,,,,19887,-150.15475,86,,,,,,
,,,,,19962,-394.63525,75,,,,,,
-1307.3068,891.0556,-469.5522,-3523.2983,154.0,20000,,,318.9446105957031,-0.06336633116006851,-4.29826545715332,30.904394149780273,0.88,0.001
,,,,,20039,-206.95021,77,,,,,,
,,,,,20150,-99.61997,111,,,,,,
,,,,,20249,-81.792595,99,,,,,,
,,,,,20340,-89.46795,91,,,,,,
,,,,,20427,-117.22585,87,,,,,,
,,,,,20535,-149.22592,108,,,,,,
,,,,,20627,-114.33423,92,,,,,,
,,,,,20710,-111.82864,83,,,,,,
,,,,,20794,-180.10223,84,,,,,,
,,,,,20899,-182.1915,105,,,,,,
,,,,,20971,-117.17911,72,,,,,,
,,,,,21000,,,10.337165832519531,-1.40696120262146,-0.8070448637008667,15.813636779785156,0.874,0.001
,,,,,21096,-291.9603,125,,,,,,
,,,,,21180,-358.15067,84,,,,,,
,,,,,21283,-56.00151,103,,,,,,
,,,,,21353,-126.76079,70,,,,,,
,,,,,21441,-257.3139,88,,,,,,
,,,,,21549,-318.94934,108,,,,,,
,,,,,21644,-391.33218,95,,,,,,
,,,,,21757,-185.18407,113,,,,,,
,,,,,21874,-217.44034,117,,,,,,
,,,,,21946,-158.2,72,,,,,,
,,,,,22000,,,2.522160768508911,-2.183328628540039,-1.883121132850647,16.036529541015625,0.868,0.001
,,,,,22098,-151.95685,152,,,,,,
,,,,,22171,-108.794136,73,,,,,,
,,,,,22270,-247.54605,99,,,,,,
,,,,,22359,-207.5644,89,,,,,,
,,,,,22447,-139.55623,88,,,,,,
,,,,,22585,-236.69762,138,,,,,,
,,,,,22678,-188.93503,93,,,,,,
,,,,,22790,-80.13879,112,,,,,,
,,,,,22911,-109.408,121,,,,,,
,,,,,23000,,,2.3040964603424072,0.14763066172599792,0.12587226927280426,14.831001281738281,0.862,0.001
,,,,,23033,-12.117546,122,,,,,,
,,,,,23133,-327.26416,100,,,,,,
,,,,,23256,-1.1997833,123,,,,,,
,,,,,23367,-128.90396,111,,,,,,
,,,,,23461,-331.58105,94,,,,,,
,,,,,23574,-210.45071,113,,,,,,
,,,,,23671,-206.41132,97,,,,,,
,,,,,23768,-95.82443,97,,,,,,
,,,,,23897,-77.936035,129,,,,,,
,,,,,23957,-83.84776,60,,,,,,
,,,,,24000,,,18.147653579711914,-1.4699087142944336,-1.722238302230835,51.41688919067383,0.856,0.001
,,,,,24020,-108.45274,63,,,,,,
,,,,,24100,-105.2548,80,,,,,,
,,,,,24177,-67.1884,77,,,,,,
,,,,,24322,-315.4872,145,,,,,,
,,,,,24390,-218.9182,68,,,,,,
,,,,,24482,-130.74301,92,,,,,,
,,,,,24545,-78.84683,63,,,,,,
,,,,,24658,-313.0419,113,,,,,,
,,,,,24752,-90.87359,94,,,,,,
,,,,,24867,-43.237206,115,,,,,,
,,,,,24932,-61.02085,65,,,,,,
,,,,,25000,,,40.06075668334961,-1.3870587348937988,-1.6740540266036987,119.7811279296875,0.85,0.001
,,,,,25034,-217.70297,102,,,,,,
,,,,,25099,-158.65768,65,,,,,,
,,,,,25194,-376.5866,95,,,,,,
,,,,,25260,-74.732025,66,,,,,,
,,,,,25349,-236.01782,89,,,,,,
,,,,,25437,-80.25371,88,,,,,,
,,,,,25572,-122.035965,135,,,,,,
,,,,,25669,-112.90498,97,,,,,,
,,,,,25729,-91.8273,60,,,,,,
