Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-279.95975,96.9924,-115.90483,-424.11823,1000.0,0,,,,,,,,,,
,,,,,999,-248.57503,1000,,,,,,,,
,,,,,1999,-232.37189,1000,,,,,,,,
,,,,,2999,-376.45172,1000,,,,,,,,
,,,,,3999,-365.2395,1000,,,,,,,,
,,,,,4999,-225.45395,1000,,,,,,,,
-267.97064,46.388668,-192.00914,-356.49915,1000.0,5000,,,,,,,,,,
,,,,,5999,-202.44951,1000,,,,,,,,
,,,,,6999,-225.53583,1000,,,,,,,,
,,,,,7999,-322.83884,1000,,,,,,,,
,,,,,8999,-168.53394,1000,,,,,,,,
,,,,,9999,-305.63184,1000,,,,,,,,
-254.7697,57.49596,-175.65382,-363.22086,1000.0,10000,,,-0.32209980487823486,3.771026134490967,0.9294730424880981,-0.022265570238232613,-0.6791917085647583,0.0003,0.0003,0.1
,,,,,10999,-196.07623,1000,,,,,,,,
,,,,,11000,,,0.5569267272949219,2.4834985733032227,0.494857519865036,-1.2767996788024902,-1.2768723964691162,0.0003,0.0003,0.1
,,,,,11999,-22.09889,1000,,,,,,,,
,,,,,12000,,,2.2674903869628906,3.0425398349761963,0.7528505921363831,-2.7131636142730713,-2.8571643829345703,0.0003,0.0003,0.1
,,,,,12999,-245.94212,1000,,,,,,,,
,,,,,13000,,,3.6883704662323,2.533146619796753,0.9526008367538452,-4.329998970031738,-4.42193603515625,0.0003,0.0003,0.1
,,,,,13999,-260.43936,1000,,,,,,,,
,,,,,14000,,,2.6731419563293457,1.9768226146697998,0.9544649124145508,-3.4801158905029297,-3.451380729675293,0.0003,0.0003,0.1
,,,,,14999,-229.0873,1000,,,,,,,,
-235.038,13.565602,-215.90643,-260.10574,1000.0,15000,,,1.8536627292633057,1.7210599184036255,0.9484075307846069,-2.734208345413208,-2.6860716342926025,0.0003,0.0003,0.1
,,,,,15999,-191.13727,1000,,,,,,,,
,,,,,16000,,,2.2760066986083984,2.3938488960266113,0.7481932044029236,-3.0339722633361816,-3.006458044052124,0.0003,0.0003,0.1
,,,,,16999,-85.17752,1000,,,,,,,,
,,,,,17000,,,1.043690800666809,1.9174821376800537,0.62077397108078,-1.8612412214279175,-1.8166447877883911,0.0003,0.0003,0.1
,,,,,17999,-52.96641,1000,,,,,,,,
,,,,,18000,,,0.9733877182006836,1.738173007965088,0.5794920921325684,-1.7748297452926636,-1.667789101600647,0.0003,0.0003,0.1
,,,,,18999,159.74922,1000,,,,,,,,
,,,,,19000,,,-0.3607461750507355,1.7679152488708496,0.7691348791122437,-0.3521048128604889,-0.27398681640625,0.0003,0.0003,0.1
,,,,,19999,107.21209,1000,,,,,,,,
