Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-239.77332,81.53131,-123.35281,-419.70044,1000.0,0,,,,,,,,,,
,,,,,999,-156.60808,1000,,,,,,,,
,,,,,1999,-395.93704,1000,,,,,,,,
,,,,,2999,-322.33984,1000,,,,,,,,
,,,,,3999,-226.06561,1000,,,,,,,,
,,,,,4999,-324.53833,1000,,,,,,,,
-262.45575,67.83827,-159.24161,-341.41196,1000.0,5000,,,,,,,,,,
,,,,,5999,-316.87802,1000,,,,,,,,
,,,,,6999,-236.09305,1000,,,,,,,,
,,,,,7999,-223.3382,1000,,,,,,,,
,,,,,8999,-147.11111,1000,,,,,,,,
,,,,,9999,-269.11325,1000,,,,,,,,
-270.23367,68.889595,-199.2657,-449.50473,1000.0,10000,,,-0.3238571286201477,3.6845810413360596,0.9068055152893066,-0.01740555837750435,-0.705564022064209,0.0003,0.0003,0.1
