Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3084,113.85442,94,,,,,,,,
,,,,,3096,8.399319,12,,,,,,,,
,,,,,3109,9.527402,13,,,,,,,,
,,,,,3119,6.6887856,10,,,,,,,,
,,,,,3160,15.09137,41,,,,,,,,
,,,,,3175,8.0827055,15,,,,,,,,
,,,,,3195,11.928952,20,,,,,,,,
,,,,,3207,10.611562,12,,,,,,,,
,,,,,3222,12.640548,15,,,,,,,,
,,,,,3253,10.199549,31,,,,,,,,
,,,,,3289,33.1499,36,,,,,,,,
,,,,,3306,13.411527,17,,,,,,,,
,,,,,3321,11.269452,15,,,,,,,,
,,,,,3340,13.957406,19,,,,,,,,
,,,,,3350,6.77677,10,,,,,,,,
,,,,,3380,16.621544,30,,,,,,,,
,,,,,3393,11.343519,13,,,,,,,,
,,,,,3413,18.2917,20,,,,,,,,
,,,,,3428,7.8933263,15,,,,,,,,
,,,,,3452,23.351854,24,,,,,,,,
,,,,,3473,20.919533,21,,,,,,,,
,,,,,3485,9.799927,12,,,,,,,,
,,,,,3506,22.349403,21,,,,,,,,
,,,,,3536,19.122496,30,,,,,,,,
,,,,,3552,14.623883,16,,,,,,,,
,,,,,3565,10.304609,13,,,,,,,,
,,,,,3577,10.238134,12,,,,,,,,
,,,,,3598,21.076588,21,,,,,,,,
,,,,,3616,17.425526,18,,,,,,,,
,,,,,3640,11.2341585,24,,,,,,,,
,,,,,3667,21.562923,27,,,,,,,,
,,,,,3688,19.592117,21,,,,,,,,
,,,,,3705,15.895104,17,,,,,,,,
,,,,,3714,6.1551104,9,,,,,,,,
,,,,,3745,18.942999,31,,,,,,,,
,,,,,3770,21.825617,25,,,,,,,,
,,,,,3802,15.924467,32,,,,,,,,
,,,,,3810,5.8918796,8,,,,,,,,
,,,,,3832,23.727802,22,,,,,,,,
,,,,,3858,20.163631,26,,,,,,,,
,,,,,3872,7.975283,14,,,,,,,,
,,,,,3903,26.603325,31,,,,,,,,
,,,,,3920,14.467243,17,,,,,,,,
,,,,,3945,27.824135,25,,,,,,,,
,,,,,3963,12.407509,18,,,,,,,,
,,,,,3976,8.79713,13,,,,,,,,
,,,,,3991,8.888425,15,,,,,,,,
,,,,,4009,20.231617,18,,,,,,,,
,,,,,4038,31.038666,29,,,,,,,,
,,,,,4079,53.121582,41,,,,,,,,
,,,,,4101,10.274884,22,,,,,,,,
,,,,,4126,24.840107,25,,,,,,,,
,,,,,4148,15.916306,22,,,,,,,,
,,,,,4162,11.880654,14,,,,,,,,
,,,,,4181,11.310436,19,,,,,,,,
,,,,,4202,22.305685,21,,,,,,,,
,,,,,4213,9.081969,11,,,,,,,,
,,,,,4242,23.380075,29,,,,,,,,
,,,,,4256,8.76698,14,,,,,,,,
,,,,,4271,12.402032,15,,,,,,,,
,,,,,4287,13.56576,16,,,,,,,,
,,,,,4302,12.82218,15,,,,,,,,
,,,,,4320,15.775171,18,,,,,,,,
,,,,,4339,14.789663,19,,,,,,,,
,,,,,4360,16.998579,21,,,,,,,,
,,,,,4395,38.158516,35,,,,,,,,
,,,,,4410,12.583097,15,,,,,,,,
,,,,,4457,29.038425,47,,,,,,,,
,,,,,4470,8.822969,13,,,,,,,,
,,,,,4484,9.148226,14,,,,,,,,
,,,,,4497,8.822345,13,,,,,,,,
,,,,,4511,9.5099125,14,,,,,,,,
,,,,,4523,5.8398747,12,,,,,,,,
,,,,,4535,6.791786,12,,,,,,,,
,,,,,4551,12.950393,16,,,,,,,,
,,,,,4569,7.175917,18,,,,,,,,
,,,,,4593,23.093773,24,,,,,,,,
,,,,,4610,17.170616,17,,,,,,,,
,,,,,4619,6.510195,9,,,,,,,,
,,,,,4629,7.6616936,10,,,,,,,,
,,,,,4648,13.451301,19,,,,,,,,
,,,,,4665,17.39518,17,,,,,,,,
,,,,,4678,7.2341003,13,,,,,,,,
,,,,,4702,21.30414,24,,,,,,,,
,,,,,4747,63.29707,45,,,,,,,,
,,,,,4761,13.412506,14,,,,,,,,
,,,,,4782,19.87704,21,,,,,,,,
,,,,,4814,37.463913,32,,,,,,,,
,,,,,4828,12.06435,14,,,,,,,,
,,,,,4845,8.302202,17,,,,,,,,
,,,,,4861,10.815736,16,,,,,,,,
,,,,,4901,41.06075,40,,,,,,,,
,,,,,4913,9.330881,12,,,,,,,,
,,,,,4932,11.615659,19,,,,,,,,
,,,,,4951,19.592592,19,,,,,,,,
,,,,,4963,10.307388,12,,,,,,,,
,,,,,4979,11.97458,16,,,,,,,,
,,,,,4998,18.642921,19,,,,,,,,
21.769718,19.530346,75.27844,6.806741,27.7,5000,,,,,,,,,,
,,,,,5021,15.055452,23,,,,,,,,
,,,,,5067,17.791084,46,,,,,,,,
,,,,,5098,42.999077,31,,,,,,,,
,,,,,5118,14.054004,20,,,,,,,,
,,,,,5138,11.891165,20,,,,,,,,
,,,,,5165,35.507256,27,,,,,,,,
,,,,,5190,12.997201,25,,,,,,,,
,,,,,5204,13.046714,14,,,,,,,,
,,,,,5221,12.580115,17,,,,,,,,
,,,,,5248,20.518333,27,,,,,,,,
,,,,,5275,12.05368,27,,,,,,,,
,,,,,5287,10.487935,12,,,,,,,,
,,,,,5308,14.523923,21,,,,,,,,
,,,,,5320,10.730771,12,,,,,,,,
,,,,,5341,15.950628,21,,,,,,,,
,,,,,5356,13.790435,15,,,,,,,,
,,,,,5384,17.456793,28,,,,,,,,
,,,,,5406,27.53525,22,,,,,,,,
,,,,,5443,38.890995,37,,,,,,,,
,,,,,5467,26.267845,24,,,,,,,,
,,,,,5484,10.5104475,17,,,,,,,,
,,,,,5505,14.905277,21,,,,,,,,
,,,,,5544,41.677124,39,,,,,,,,
,,,,,5566,15.699272,22,,,,,,,,
,,,,,5581,10.911765,15,,,,,,,,
,,,,,5596,15.958433,15,,,,,,,,
,,,,,5617,24.96481,21,,,,,,,,
,,,,,5639,18.609394,22,,,,,,,,
,,,,,5680,28.898178,41,,,,,,,,
,,,,,5704,28.831562,24,,,,,,,,
,,,,,5730,25.33422,26,,,,,,,,
,,,,,5750,14.360155,20,,,,,,,,
,,,,,5791,45.601097,41,,,,,,,,
,,,,,5810,19.553802,19,,,,,,,,
,,,,,5840,33.271034,30,,,,,,,,
,,,,,5863,17.262953,23,,,,,,,,
,,,,,5876,12.36812,13,,,,,,,,
,,,,,5888,10.941346,12,,,,,,,,
,,,,,5918,38.506996,30,,,,,,,,
,,,,,5937,13.721805,19,,,,,,,,
,,,,,5967,16.57607,30,,,,,,,,
,,,,,5986,11.646945,19,,,,,,,,
,,,,,5996,8.91692,10,,,,,,,,
,,,,,6068,86.147964,72,,,,,,,,
,,,,,6113,43.167522,45,,,,,,,,
,,,,,6124,9.415167,11,,,,,,,,
,,,,,6136,10.1891,12,,,,,,,,
,,,,,6154,18.164354,18,,,,,,,,
,,,,,6210,86.21282,56,,,,,,,,
,,,,,6247,18.894468,37,,,,,,,,
,,,,,6258,9.673487,11,,,,,,,,
,,,,,6282,21.724575,24,,,,,,,,
,,,,,6295,7.070609,13,,,,,,,,
,,,,,6308,8.762348,13,,,,,,,,
,,,,,6351,35.363094,43,,,,,,,,
,,,,,6365,10.641657,14,,,,,,,,
,,,,,6381,13.384943,16,,,,,,,,
,,,,,6404,28.081993,23,,,,,,,,
,,,,,6439,36.842068,35,,,,,,,,
,,,,,6462,25.557087,23,,,,,,,,
,,,,,6478,12.898554,16,,,,,,,,
,,,,,6491,12.779154,13,,,,,,,,
,,,,,6506,14.997439,15,,,,,,,,
,,,,,6521,9.563334,15,,,,,,,,
,,,,,6547,17.480347,26,,,,,,,,
,,,,,6577,30.14665,30,,,,,,,,
,,,,,6589,10.162291,12,,,,,,,,
,,,,,6601,10.399184,12,,,,,,,,
,,,,,6629,35.64449,28,,,,,,,,
,,,,,6679,87.36789,50,,,,,,,,
,,,,,6702,20.307417,23,,,,,,,,
,,,,,6715,12.245649,13,,,,,,,,
,,,,,6726,8.687502,11,,,,,,,,
,,,,,6751,30.272411,25,,,,,,,,
,,,,,6765,11.716322,14,,,,,,,,
,,,,,6822,63.727654,57,,,,,,,,
,,,,,6838,15.785814,16,,,,,,,,
,,,,,6852,15.086738,14,,,,,,,,
,,,,,6862,8.840668,10,,,,,,,,
,,,,,6883,16.425669,21,,,,,,,,
,,,,,6932,43.406734,49,,,,,,,,
,,,,,6984,68.87294,52,,,,,,,,
,,,,,6998,13.104367,14,,,,,,,,
,,,,,7014,16.470364,16,,,,,,,,
,,,,,7025,8.500278,11,,,,,,,,
,,,,,7041,12.56222,16,,,,,,,,
,,,,,7100,78.601685,59,,,,,,,,
,,,,,7112,10.517825,12,,,,,,,,
,,,,,7127,15.774557,15,,,,,,,,
,,,,,7144,10.40491,17,,,,,,,,
,,,,,7174,41.366093,30,,,,,,,,
,,,,,7197,28.30424,23,,,,,,,,
,,,,,7223,26.749762,26,,,,,,,,
,,,,,7234,8.832219,11,,,,,,,,
,,,,,7262,22.158161,28,,,,,,,,
,,,,,7298,33.94584,36,,,,,,,,
,,,,,7323,13.174465,25,,,,,,,,
,,,,,7342,11.108296,19,,,,,,,,
,,,,,7364,25.880219,22,,,,,,,,
,,,,,7383,20.776497,19,,,,,,,,
,,,,,7397,12.567782,14,,,,,,,,
,,,,,7413,14.243938,16,,,,,,,,
,,,,,7441,27.469952,28,,,,,,,,
,,,,,7459,16.013868,18,,,,,,,,
,,,,,7471,9.419591,12,,,,,,,,
,,,,,7492,12.7782345,21,,,,,,,,
,,,,,7510,8.080677,18,,,,,,,,
,,,,,7520,8.154311,10,,,,,,,,
