Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,34000,,,-76.1688003540039,-5.788444995880127,0.5368105173110962,75.24752807617188,75.21370697021484,0.021685542538762093,-1.8181912899017334,0.0003,0.0003,0.021685950458049774
,,,,,34999,1735.8057,1000,,,,,,,,,,
2321.2627,37.045498,2403.8528,2285.1575,1000.0,35000,,,-81.59290313720703,-6.194831848144531,0.6954693794250488,80.3669204711914,80.41690063476562,0.02260582521557808,0.20755402743816376,0.0003,0.0003,0.022606659680604935
,,,,,35999,2359.6985,1000,,,,,,,,,,
,,,,,36000,,,-86.5934066772461,-5.814720153808594,0.579382061958313,85.62206268310547,85.48914337158203,0.02291041798889637,-0.4989814758300781,0.0003,0.0003,0.022910330444574356
,,,,,36999,2460.3684,1000,,,,,,,,,,
,,,,,37000,,,-94.06138610839844,-5.711301326751709,0.5740018486976624,93.12581634521484,93.1021728515625,0.02325599454343319,-1.7210084199905396,0.0003,0.0003,0.023255595937371254
,,,,,37999,2340.9167,1000,,,,,,,,,,
,,,,,38000,,,-96.25717163085938,-6.171559810638428,0.507749617099762,95.14456176757812,95.15784454345703,0.023550912737846375,0.51783686876297,0.0003,0.0003,0.02355150692164898
,,,,,38999,1889.1841,1000,,,,,,,,,,
,,,,,39000,,,-103.08905029296875,-6.2362565994262695,0.7630001902580261,101.95835876464844,102.0435562133789,0.023693565279245377,-0.3512631356716156,0.0003,0.0003,0.023693637922406197
,,,,,39999,2567.294,1000,,,,,,,,,,
2708.5774,47.18799,2776.9316,2622.921,1000.0,40000,,,-105.94361877441406,-6.40515661239624,0.6746019124984741,104.95880889892578,104.80140686035156,0.02414076030254364,1.6406320333480835,0.0003,0.0003,0.024140615016222
,,,,,40999,2638.1924,1000,,,,,,,,,,
,,,,,41000,,,-108.68248748779297,-6.160198211669922,0.755397379398346,107.888427734375,107.9018783569336,0.024592772126197815,1.1513915061950684,0.0003,0.0003,0.024594249203801155
,,,,,41999,2668.9006,1000,,,,,,,,,,
,,,,,42000,,,-116.23001098632812,-5.730863094329834,0.7415401935577393,115.14559936523438,115.2213134765625,0.024934561923146248,0.3777950406074524,0.0003,0.0003,0.024934448301792145
,,,,,42999,2667.9294,1000,,,,,,,,,,
