Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-241.9218,44.898804,-158.01944,-308.3198,1000.0,0,,,,,,,,,,
,,,,,999,-293.60403,1000,,,,,,,,
,,,,,1999,-303.42532,1000,,,,,,,,
,,,,,2999,-237.15019,1000,,,,,,,,
,,,,,3999,-329.7207,1000,,,,,,,,
,,,,,4999,-278.93506,1000,,,,,,,,
-208.44861,47.542404,-122.78397,-293.87015,1000.0,5000,,,,,,,,,,
,,,,,5999,-277.30136,1000,,,,,,,,
,,,,,6999,-171.62198,1000,,,,,,,,
,,,,,7999,-286.25577,1000,,,,,,,,
,,,,,8999,-272.68274,1000,,,,,,,,
,,,,,9999,-166.03484,1000,,,,,,,,
-261.09885,85.479294,-153.22667,-449.14566,1000.0,10000,,,-3.9849772453308105,3.6578052043914795,1.0047643184661865,-0.02373626083135605,-0.7410191893577576,0.0003,0.0003,0.1
,,,,,10999,-164.29831,1000,,,,,,,,
,,,,,11000,,,-1.3028838634490967,4.088963031768799,0.6020069122314453,-3.2718007564544678,-3.3573250770568848,0.0003,0.0003,0.1
,,,,,11999,-75.20662,1000,,,,,,,,
,,,,,12000,,,1.205777645111084,4.063257217407227,0.8413501381874084,-5.75041389465332,-5.853349208831787,0.0003,0.0003,0.1
,,,,,12999,-153.48561,1000,,,,,,,,
,,,,,13000,,,4.195374011993408,4.065581798553467,1.2177194356918335,-8.727418899536133,-8.56924057006836,0.0003,0.0003,0.1
,,,,,13999,-147.47011,1000,,,,,,,,
,,,,,14000,,,6.669033050537109,4.023927688598633,1.4127312898635864,-11.266469955444336,-11.326831817626953,0.0003,0.0003,0.1
,,,,,14999,-171.2053,1000,,,,,,,,
-192.43588,61.96516,-66.82206,-279.7968,1000.0,15000,,,7.437282562255859,4.031717300415039,1.6171280145645142,-12.123954772949219,-12.11422348022461,0.0003,0.0003,0.1
,,,,,15999,-67.53333,1000,,,,,,,,
,,,,,16000,,,8.699945449829102,3.9981954097747803,2.130714178085327,-13.467643737792969,-13.40479564666748,0.0003,0.0003,0.1
,,,,,16999,-208.08269,1000,,,,,,,,
,,,,,17000,,,9.331635475158691,3.893498420715332,1.9757816791534424,-13.85223388671875,-13.879162788391113,0.0003,0.0003,0.1
,,,,,17999,-133.78105,1000,,,,,,,,
,,,,,18000,,,9.202917098999023,3.9396586418151855,1.7375545501708984,-14.05820083618164,-14.10934066772461,0.0003,0.0003,0.1
,,,,,18999,-263.07193,1000,,,,,,,,
,,,,,19000,,,10.52004623413086,3.9571948051452637,2.170125961303711,-15.323413848876953,-15.312423706054688,0.0003,0.0003,0.1
