Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
17.87191,7.6636024,29.855743,8.265633,21.4,0,,,,,,,,,,
,,,,,18,15.799669,19,,,,,,,,
,,,,,36,9.112382,18,,,,,,,,
,,,,,58,11.926311,22,,,,,,,,
,,,,,92,22.939,34,,,,,,,,
,,,,,115,17.7703,23,,,,,,,,
,,,,,138,11.443766,23,,,,,,,,
,,,,,167,16.61718,29,,,,,,,,
,,,,,179,7.9331226,12,,,,,,,,
,,,,,198,13.56576,19,,,,,,,,
,,,,,208,8.463298,10,,,,,,,,
,,,,,217,7.6584287,9,,,,,,,,
,,,,,233,9.413014,16,,,,,,,,
,,,,,260,18.287,27,,,,,,,,
,,,,,296,40.113575,36,,,,,,,,
,,,,,323,18.267906,27,,,,,,,,
,,,,,335,9.489955,12,,,,,,,,
,,,,,347,10.610697,12,,,,,,,,
,,,,,368,18.905607,21,,,,,,,,
,,,,,383,13.693068,15,,,,,,,,
,,,,,405,13.328709,22,,,,,,,,
,,,,,416,8.60462,11,,,,,,,,
,,,,,433,14.214524,17,,,,,,,,
,,,,,475,22.630371,42,,,,,,,,
,,,,,485,8.91463,10,,,,,,,,
,,,,,517,21.777737,32,,,,,,,,
,,,,,540,25.996473,23,,,,,,,,
,,,,,554,12.758351,14,,,,,,,,
,,,,,574,22.896235,20,,,,,,,,
,,,,,588,8.673905,14,,,,,,,,
,,,,,602,11.556261,14,,,,,,,,
,,,,,620,9.973858,18,,,,,,,,
,,,,,669,61.477524,49,,,,,,,,
,,,,,680,7.9325986,11,,,,,,,,
,,,,,713,21.375158,33,,,,,,,,
,,,,,747,28.989834,34,,,,,,,,
,,,,,797,82.10033,50,,,,,,,,
,,,,,814,7.7355614,17,,,,,,,,
,,,,,854,31.955126,40,,,,,,,,
,,,,,883,13.903502,29,,,,,,,,
,,,,,908,23.189375,25,,,,,,,,
,,,,,948,42.94748,40,,,,,,,,
,,,,,980,25.722364,32,,,,,,,,
,,,,,1035,71.507095,55,,,,,,,,
,,,,,1101,120.80125,66,,,,,,,,
,,,,,1118,10.875393,17,,,,,,,,
,,,,,1140,23.973196,22,,,,,,,,
,,,,,1156,9.800158,16,,,,,,,,
,,,,,1174,17.977594,18,,,,,,,,
,,,,,1219,52.520924,45,,,,,,,,
,,,,,1233,10.591739,14,,,,,,,,
,,,,,1250,11.139327,17,,,,,,,,
,,,,,1267,13.531804,17,,,,,,,,
,,,,,1289,24.633383,22,,,,,,,,
,,,,,1319,29.820696,30,,,,,,,,
,,,,,1346,17.966715,27,,,,,,,,
,,,,,1363,13.382169,17,,,,,,,,
,,,,,1380,12.738636,17,,,,,,,,
,,,,,1404,21.676838,24,,,,,,,,
,,,,,1417,9.124745,13,,,,,,,,
,,,,,1440,11.832988,23,,,,,,,,
,,,,,1469,20.61832,29,,,,,,,,
,,,,,1484,11.293917,15,,,,,,,,
,,,,,1532,50.07803,48,,,,,,,,
,,,,,1551,20.145113,19,,,,,,,,
,,,,,1583,10.1668005,32,,,,,,,,
,,,,,1612,13.681631,29,,,,,,,,
,,,,,1646,37.19884,34,,,,,,,,
,,,,,1663,9.299866,17,,,,,,,,
,,,,,1688,11.378496,25,,,,,,,,
,,,,,1706,11.730266,18,,,,,,,,
,,,,,1727,20.236916,21,,,,,,,,
,,,,,1754,16.191011,27,,,,,,,,
,,,,,1777,25.323881,23,,,,,,,,
,,,,,1796,16.57917,19,,,,,,,,
,,,,,1819,15.690044,23,,,,,,,,
,,,,,1839,22.360334,20,,,,,,,,
,,,,,1855,16.450321,16,,,,,,,,
,,,,,1874,10.650599,19,,,,,,,,
,,,,,1888,11.18637,14,,,,,,,,
,,,,,1924,25.660137,36,,,,,,,,
,,,,,1936,8.6916895,12,,,,,,,,
,,,,,1948,10.423163,12,,,,,,,,
,,,,,1969,17.858892,21,,,,,,,,
,,,,,1988,8.438303,19,,,,,,,,
,,,,,2003,9.573585,15,,,,,,,,
,,,,,2028,21.272902,25,,,,,,,,
,,,,,2047,20.454124,19,,,,,,,,
,,,,,2067,14.649127,20,,,,,,,,
,,,,,2078,7.130217,11,,,,,,,,
,,,,,2101,16.87573,23,,,,,,,,
,,,,,2118,9.94241,17,,,,,,,,
,,,,,2131,7.7663927,13,,,,,,,,
,,,,,2142,7.5149536,11,,,,,,,,
,,,,,2238,210.08418,96,,,,,,,,
,,,,,2256,18.620811,18,,,,,,,,
,,,,,2270,11.128933,14,,,,,,,,
,,,,,2298,15.5734005,28,,,,,,,,
,,,,,2324,22.650198,26,,,,,,,,
,,,,,2338,11.78215,14,,,,,,,,
,,,,,2355,15.493003,17,,,,,,,,
,,,,,2370,9.214508,15,,,,,,,,
,,,,,2383,11.301669,13,,,,,,,,
,,,,,2402,19.85744,19,,,,,,,,
,,,,,2419,12.206505,17,,,,,,,,
,,,,,2444,5.913378,25,,,,,,,,
,,,,,2471,24.87734,27,,,,,,,,
,,,,,2532,99.51581,61,,,,,,,,
,,,,,2545,10.1760025,13,,,,,,,,
,,,,,2558,10.779003,13,,,,,,,,
,,,,,2574,7.80812,16,,,,,,,,
,,,,,2588,13.576126,14,,,,,,,,
